,"Arabic"
"Master Settings","إعدادات الرئيسي، "
"Module Management","إدارة الوحدة، "
"Price Management","إدارة الأسعار"
"Price & Discounts","الأسعار والخصومات"
"User Management","إدارةالمستخدم"
,
,
,
"Client Dashboard","لوحة مستخدم العميل، "
,
,
"Confirm Account as","تأكيد الحساب كـ، "
"Your email account has been successfully confirmed.","تم تأكيد حساب البريد الإلكتروني الخاص بك بنجاح."
"You will be receiving an email shortly by our Admin if your registration has been approved or not.","سوف تتلقى رسالة بريد قريبا من مشرفنا في حال تم قبول اشتراكك أو لا، "
"If you have not yet receive the email, please check your inbox or your spam folder.","إذا لم تحصل بعد على البريد الإلكتروني، يرجى التحقق من البريد الوارد الخاص بك أو مجلد الرسائل غير المرغوب فيها"
,
,
"Bulletin Board","لوحة الإعلانات، "
"Not a Parent / Teacher / School?","ليس ولي الأمر / المعلم / المدرسة، "
,
,
"Enter Reset Code","أدخل رمز إعادة التعيين، "
"Reset Code Resent","تم إرسال رمز إعادة التعيين، "
"Reset Code","رمز إعادة التعيين، "
"Resend Code","إعادة إرسال الرمز، "
"Proceed","تقدم، "
,
,
"Retrieve Password","استرجاع كلمة المرور"
"Reset Code Sent","تم إرسال رمز إعادة التعيين، "
"Please check your inbox or your spam folder for the email.<br />The email contains a reset code that you need to input below.","يرجى التحقق من البريد الوارد الخاص بك أو مجلد الرسائل غير المرغوب فيها في البريد الإلكتروني. <br /> ويتضمن البريد الإلكتروني رمز إعادة التعيين الذي يجب إدخاله أدناه"
,
,
"Teacher Registration","تسجيل المعلم"
"Register New Account","تسجيل حساب جديد"
,
,
"Please enter the confirmation code to confirm your email account.","الرجاء إدخال رمز التأكيد لتأكيد حساب البريد الإلكتروني الخاص بك."
,
,
"Please Login then proceed to My Profile to confirm your new email address.","يرجى تسجيل الدخول ثم الانتقال إلى  ملفي الشخصي لتأكيد عنوان بريدك الإلكتروني الجديد."
,
,
"Thank you for registering to Future Lesson!","شكرا لتسجيلك في الدرس! "
"A confirmation code has been sent to your email account.","تم إرسال رمز التأكيد إلى حساب البريد الإلكتروني الخاص بك."
"Please enter the confirmation code to verify your email address and to setup your new password.","الرجاء إدخال رمز التأكيد لتأكيد عنوان البريد الإلكتروني الخاص بك ولإعداد كلمة المرور الجديدة."
,
,
"A new confirmation code has been sent to your email account.","تم إرسال رمز التأكيد الجديد لحساب البريد الإلكتروني الخاص بك."
"You\re almost done! We just need you to confirm your email address. Please check your inbox and click on the link.'","اكتمل تقريبا! كل ما نريده منك هو تأكيد عنوان البريد الإلكتروني الخاص بك. يرجى التحقق من البريد الوارد الخاص بك وانقر على الرابط المزود، _x000D_"
,
,
"Register Account as","تسجيل حساب كـ، "
"Sign up via Facebook","الاشتراك عبر الفيسبوك"
"Sign up with Google","الاشتراك عبر جوجل، "
,
,
"FUTUREED PTE LTD CLIENT TERMS AND CONDITIONS","شروط وأحكام عميل FUTUREED PTE المتحدة "
,
"Thank you for choosing Futureed Pte Ltd for your assessment needs.<br/>We intend to provide provide you with a best-in-industry products that are of high quality, price competitive, psychometrically sound and in a technically reliable manner.<br/>To achieve that goal, we need to make certain legal declarations to ensure that our Service is being used in a reasonable, safe, and legal way.<br/>These Terms may be updated from time to time. Notice of modifications to these Terms will appear on this page.","شكرا لاختيارك  Futureed المحدودة لتقييم الاحتياجات الخاصة بك. <br/> نحن عازمون تقديم أفضل المنتجات العالية الجودة، وبأسعار تنافسية، وسليمة، وبطريقة موثوقة بها من الناحية الفنية. <br/> ولتحقيق هذا الهدف، نحن بحاجة إلى القيام بتصريحات قانونية معينة لضمان استخدام خدماتنا بطريقة معقولة وآمنة وقانونية. <br/> قد يتم تحديث هذه الشروط من وقت لآخر. سوف يظهر إشعار التعديلات على هذه الشروط في هذه الصفحة."
,
"Introduction","المقدمة، "
,
"If you are using Futureed Pte Ltd on behalf of a business entity or other organization, you represent and warrant to KCGA that you have the authority to legally bind such business entity or other organization to these Terms and Conditions of Use.<br/>In such event, both you, acting on behalf of the business entity or other organization, and the business entity or other organization for whom you act, are jointly and severally bound by these Terms and Conditions of Use and references in these Terms and Conditions of Use to ""Customer,"" ""you"" or ""your"" refer to both you, acting on behalf of the business entity or other organization, and the business entity or other organization for whom you act, jointly and severally. It also implies that if you transfer the administration of the account of your organization to another person within the same organization, that person will also be taken legally to be representing and acting on behalf of the business entity of the registration and account.","إذا كنت تستخدم Futureed نيابة عن كيان تجاري أو منظمة أخرى، فإنك تقر وتتعهد لـمجموعة كوش الاستشارية أن لديك السلطة القانونية لهذا الكيان التجاري أو منظمة أخرى، والخضوع لشروط الاستخدام. <br/> وفي مثل هذا الحدث، أنت، نيابة عن الكيان التجاري أو منظمة أخرى، والكيان التجاري أو منظمة أخرى عليكم الالتزام بهذه الشروط والأحكام والمراجع في شروط الاستخدام ""العميل""، ""أنت"" تشير إليكم كلاكما، نيابة عن الكيان التجاري أو منظمة أخرى، والكيان التجاري أو منظمة أخرى بشكل كامل وصارم. كما ينطبق الحال إذا ما قمت بنقل إدارة حساب المؤسسة إلى شخص آخر داخل نفس المنظمة، يجب على الشخص تحمل كافة النواحي القانونية لأنه يمثل ويتصرف نيابة عن الكيان التجاري مالك الحساب."
,
"Using Futureed","استخدام Futureed، "
,
"Futureed Pte Ltd is made available by Kosh Consulting Group (Asia) Pte Ltd (KCGA) and provides an online assessmsessment tools to remotely test candidates on areas of psychometric abilities and personality.<br/>The two entities are used interchangeably for legal purposes.<br/>By registering to use Futureed, you are consenting to the terms and conditions as follows in this agreement.<br/>We also have a privacy policy which you can also find on our website.","طورت مجموعة كوش الاستشارية المحدودة (آسيا) منصة Futureed ، وتقدم أدوات تقييم عبر الانترنت لتقييم الأشخاص عن بعد في مجالات قدراتهم النفسية والشخصية. <br/> يستخدم الكيانين بشكل تبادلي لأغراض قانونية. <br/> عند التسجيل لاستخدام Futureed، فإنك توافق على الشروط والأحكام المنصوص عليها في هذه الاتفاقية. <br/> كما أن لدينا سياسة الخصوصية والتي يمكنك قراءتها عبر موقعنا."
,
"Otherwise, if you fail to have the legal authority to bind such business entity or other organization or if you are not using the Futureed Pte Ltd site on behalf of a business entity or other organization, you agree that these Terms and Conditions of Use are binding to you in your individual capacity and references in these Terms and Conditions of Use to ""KCGA Customer,"" ""you"" or ""your"" refer to you in your individual capacity.","وخلاف ذلك، إذا كنت لا تملك السلطة القانونية لإلزام هذا الكيان التجاري أو أي منظمة أخرى أو إذا كنت لا تستخدم موقع Futureed نيابة عن كيان تجاري أو منظمة أخرى، فإنك توافق على هذه الشروط والأحكام والمراجع الواردة في هذه شروط الاستخدام التابعة لـ"" مجموعة كوش الاستشارية المحدودة الخاصة بالعملاء""، ""أنت"" تشير إليك."
,
"Responsibility for Use","مسؤولية الاستخدام، "
,
"As the account user or user of Futureed, you assume full responsibility for all use of Futureed Pte Ltd by yourself and others within your organization.<br/>You agree that each individual who accesses and uses Futureed Pte Ltd acts on behalf and for the account of the Customer, and the Customer is responsible for any wrongful acts, and omissions by a user, and a user’s breach or default of these Terms and Conditions of Use.","كونك مستخدم حساب أو مستخدم Futureed، فأنت تتحمل المسؤولية الكاملة عن استخدام Futureed من قبلك والآخرين داخل المنظمة. <br/> وأنت توافق على أن كل شخص يستخدم Futureed عليه أن يتصرف نيابة ولحساب العميل، والعميل هو المسؤول عن أي أفعال غير مشروعة، والسهو من قبل المستخدم، وخرق المستخدم  لشروط الاستخدام.، "
,
"You represent, warrant, and covenant that:","انت تمثل، وتضمن، وتتعهد بـ :"
,
"You will submit reasonable and appropriate documentation as requested by KCGA for us to make an assessment on your suitability and qualification to use the Futureed Pte Ltd products and services.","سوف تقدم وثائق مناسبة وفقا لطلب مجموعة كوش الاستشارية المحدودة لإجراء تقييم على ملائمتك في استخدام منتجات وخدمات Futureed  المحدودة."
,
"You will ensure that reasonable safeguards are taken for the protection of your password. You understand that we do not have access to your password and that you must create a new unique password in the event that you lose or forget your password.","وسوف تحصل على ضمانات لحماية كلمة المرور الخاصة بك. عليك أن تدرك أنه ليس لدينا إمكانية للوصول إلى كلمة المرور الخاصة بك، ويجب إنشاء كلمة مرور جديدة فريدة من نوعها في حال فقدان أو نسيان كلمة المرور."
,
"We will have the right to delete your Futureed Pte Ltd account and all associated records after a period of 18 months of inactivity on your Futureed Pte Ltd account.","لدينا الحق في حذف حساب Futureed وجميع السجلات المرتبطة بحسابك بعد فترة 18 شهرا من عدم نشاط الحساب. "
,
"You are solely responsible for backing up all data and records submitted to Futureed Pte Ltd and assume full responsibility for providing backup storage facility for records for any candidate records that are captured on Futureed, and you agree not to rely on Futureed Pte Ltd for storage of the results of candidate assessments.","أنت المسؤول عن النسخ الاحتياطي لكافة البيانات والسجلات المحفوظة في Futureed وتحمل المسؤولية الكاملة عن تقديم وحدة لتخزين نسخة احتياطية للسجلات لأي سجلات المرشحين التي يتم حفظها في Futureed، وأنت توافق على عدم الاعتماد على Futureed لتخزين نتائج تقييم المرشحين."
,
"No Unlawful Use","الاستخدام الغير قانوني محظور، "
,
"As a responsible user, you agree that you will not use the Futureed Pte Ltd site, or any product, or service provided by or made available on or from the Futureed Pte Ltd site for any unlawful purpose.","كمستخدم مسؤول، فإنك توافق على عدم استخدام موقع Futureed، أو أي منتج أو الخدمة التي تقدمها، لأي غرض غير قانوني."
,
"Specifically, you agree to not use the Service to:","على وجه التحديد، فإنك توافق على عدم استخدام الخدمة لـ:"
,
"Use any device, software, or routine to interfere or attempt to interfere with the proper working of the Futureed Pte Ltd site or any activity being conducted on the Futureed Pte Ltd site.","استخدام أي جهاز أو برنامج للتدخل في سير عمل الموقع أو أي نشاط يتم القيام به الموقع."
,
"Upload, post, email, transmit or otherwise make available any Content that is unlawful, harmful, threatening, abusive, harassing, tortious, defamatory, vulgar, obscene, pornographic, libelous, invasive of another\s","تحميل أو نشر أو إرسال بالبريد الإلكتروني أو تحويل أي محتوى غير قانوني، مؤذي، مهدد، مسيء، مضايق، تشهيري، مبتذل، فاحش أو إباحي أو بغيض، أو عنصري، عرقي أو يتعارض مع المصلحة العامة أو النظام العام في كافة المحاكم المختصة؛ '"
,
"Harm minors in any way;","إيذاء الأطفال بأي شكل من الأشكال ؛"
,
"Impersonate any person or entity, including, but not limited to, a KCGA official, or host, or falsely state or otherwise misrepresent your affiliation with a person or entity;","انتحال شخصية أي شخص أو كيان، بما في ذلك، ولكن ليس على سبيل الحصر، مسؤول المجموعة، أو المضيف، أو تحريف الانتماء الخاص بك مع أي شخص أو كيان ؛"
,
"Forge headers or otherwise manipulate identifiers in order to disguise the origin of any Content transmitted through Futureed;","تزوير العناوين أو التلاعب بالمعرفات من أجل إخفاء أصل أي محتوى محول من خلال Futureed ؛"
,
"Upload, post, email, transmit or otherwise make available any Content that you do not have a right to make available under any law or under contractual or fiduciary relationships (such as inside information, proprietary and confidential information learned or disclosed as part of employment relationships or under nondisclosure agreements);","تحميل أو نشر أو إرسال بالبريد الإلكتروني أو إتاحة أي محتوى ليس لديك الحق في نشره بموجب أي قانون أو علاقات تعاقدية أو انتمائية (مثل المعلومات الداخلية، والملكية والمعلومات السرية المعروفة أو المكشوف عنها كجزء من علاقات العمل أو بموجب اتفاقيات عدم الكشف عن المعلومات السرية) ؛"
,
"Upload, post, email, transmit or otherwise make available any Content that infringes any patent, trademark, trade secret, copyright or other proprietary rights of any party;","تحميل أو نشر أو إرسال بالبريد الإلكتروني أو إتاحة أي محتوى ينتهك براءات الاختراع، العلامات التجارية، الأسرار التجارية أو حقوق النشر أو غيرها من حقوق الملكية لأي طرف ؛"
,
"Upload, post, email, transmit or otherwise make available any unsolicited or unauthorized advertising, promotional materials, ""junk mail,"" ""spam,"" ""chain letters,"" ""pyramid schemes,"" or any other form of solicitation, except in those areas (such as shopping) that are designated for such purpose;","تحميل، نشر، إرسال بالبريد الإلكتروني أو إتاحة أي إعلانات غير مرغوب فيها أو غير مصرح به، والمواد الترويجية، ""البريد غير المرغوب فيه""، ""المزعج""، ""سلسلة من الرسائل""، ""المخططات الهرمية""، أو أي شكل آخر من أشكال الإغراء، إلا في (التسوق) المخصصة لهذا الغرض ؛"
,
"Upload, post, email, transmit or otherwise make available any material that contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any part of Futureed;","تحميل أو نشر أو إرسال بالبريد الإلكتروني أو إتاحة أي مواد تحتوي على فيروسات أو أي شفرات حاسوبية أو ملفات أو برامج معدة لاعتراض أو تدمير أو تقييد وظيفة أي جزء من موقع Futureed ؛"
,
"Disrupt the normal flow of dialogue, cause a screen to ""scroll"" faster than other users of the Service are able to type, or otherwise act in a manner that negatively affects other users' ability to engage in real time exchanges;'","""تعطيل التدفق الطبيعي للحوار، تسريع الشاشة على مستخدمي الخدمة ، أو التصرف بطريقة تؤثر سلبا على المستخدمين الآخرين في القدرة على الانخراط في التبادل المباشر."" "
,
"Interfere with or disrupt the service of Futureed Pte Ltd or another person's use of the Futureed Pte Ltd or servers or networks connected to the Futureed, or disobey any requirements, procedures, policies or regulations of networks connected to Futureed;'","""التدخل أو تعطيل خدمة Futureed أو استخدام شخص آخر لخودام Futureed أو الشبكات المتصلة بموقع Futureed، أو مخالفة أية متطلبات أو إجراءات أو سياسات أو لوائح الشبكات المتصلة بموقع Futureed؛ '"
,
"Intentionally or unintentionally violate any applicable law, statute, ordinance, regulation, rule or code, including, but not limited to, any regulations, rules, notices, instructions or directives of any regulatory body or authority, governmental agency or national or other securities exchange ;","انتهاك أي قانون أو تشريع أو مرسوم أو نظام أو قاعدة أو قانون بشكل مقصود أو غير مقصود، بما في ذلك، ولكن ليس على سبيل الحصر، أي لوائح أو قواعد أو إشعارات أو تعليمات أو توجيهات من أي هيئة تنظيمية أو سلطة أو وكالة حكومية أو غيرها ،"
,
"Provide material support or resources (or to conceal or disguise the nature, location, source, or ownership of material support or resources) to any organization(s) designated by Singapore, your country or the United States government as a foreign terrorist organization;","تقديم دعم مادي أو موارد (أو لإخفاء أو تمويه طبيعة أو موقع أو مصدر أو ملكية الدعم المادي أو الموارد) لأية منظمة محددة من قبل سنغافورة، دولتك أو حكومة الولايات المتحدة كمنظمة إرهابية أجنبية ؛"
,
"""stalk"" or otherwise harass another;","""مطاردة"" أو مضايقة الآخرين ؛"
,
"Commit any fraudulent or unlawful act, whether in relation to any third party provider of products and services on the Service or otherwise and/or","القيام بأي عمل احتيالي أو غير قانوني، سواء فيما يتعلق بأي طرف ثالث مقدم للمنتجات والخدمات على الخدمة أو خلاف ذلك و / أو"
,
"Collect or store personal data about other users in connection with the prohibited conduct and activities set forth in this agreement;","جمع أو تخزين بيانات شخصية عن المستخدمين الآخرين على اتصال بالسلوك والأنشطة المحظورة المنصوص عليها في هذه الاتفاقية؛"
,
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects the national security of Singapore","إنشاء أو عرض أو نقل، أو الحصول على المواد التي تشكل تهديدا أو تؤثر سلبا على الأمن القومي لسنغافورة"
,
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects racial harmony in Singapore;","إنشاء أو عرض أو نقل، أو الحصول على المواد التي تشكل تهديدا أو تؤثر سلبا على الانسجام العرقي في سنغافورة ؛"
,
"Create, display, transmit, or obtain materials that violates intellectual property laws;","إنشاء أو عرض أو نقل، أو الحصول على المواد التي تنتهك قوانين الملكية الفكرية ؛"
,
"Use of machines, computers, scripts, ""bots"" or any automated system on Futureed Pte Ltd is strictly prohibited and may result in criminal liability. Futureed Pte Ltd may terminate and permanently disqualify any User who, in its sole discretion, determines as being in violation of these Terms of Service. All decisions by Futureed Pte Ltd are final;","يحضر استخدام آلات وأجهزة الكمبيوتر، ومخطوطات أو أي نظام آلي على Futureed وقد يؤدي ذلك إلى تحمل المسؤولية الجنائية. قد تنهي Futureed بشكل دائم أي مستخدم، وفقا لتقديرها، ينتهك لشروط الخدمة. جميع القرارات التي تتخذها Futureed تكون نهائية ؛"
,
"Futureed Pte Ltd may include hyperlinks to Websites operated by parties other than Futureed Pte Ltd including advertisers and other content providers. Those sites may collect data or solicit personal information from you. Futureed Pte Ltd does not control such Websites, and is not responsible for their content, privacy policies, or for the collection, use or disclosure of any information those sites may collect.","قد تضمن Futureed وصلات لمواقع تديرها أطراف أخرى غير Futureed بما في ذلك المعلنين وغيرهم من مقدمي المحتوى. قد تجمع هذه المواقع بيانات أو تطلب معلومات شخصية منك. لا تتحكم Futureed بتلك المواقع، وليست مسؤولة عن محتواها، وسياسات الخصوصية، أو لجمع واستخدام أو الكشف عن أي معلومات تجمعها تلك المواقع."
,
"Futureed Pte Ltd and KCGA makes no guarantee of the accuracy, correctness, or completeness of any information on these web pages, surveys, databases, or results, and are not responsible for a) any errors or omissions arising from the use of such information; 2) any failures, delays, or interruptions in the delivery of any content or services contained on our servers; or 3) losses or damages arising from the use of the content or services provided by us.","لا تقدم Futureed أية ضمانات لدقة وصحة، أو اكتمال أية معلومات على صفحات الإنترنت، والدراسات الاستقصائية، وقواعد البيانات، أو النتائج، ونحن لسنا مسئولين عن أ) أي أخطاء أو سهو حاصل عن استخدام هذه المعلومات؛ 2) أي فشل، وتأخير، أو انقطاع في تقديم أي محتوى أو الخدمات الموجودة على الخوادم الخاصة بنا. أو 3) خسائر أو أضرار تنشأ عن استخدام المحتوى أو الخدمات المقدمة من قبلنا."
,
"Intellectual Property Rights","حقوق الملكية الفكرية"
,
"Unless otherwise indicated, KCGA or its licensors own and retain all proprietary rights in the website and all material and information posted thereon, including without limitation photographs, text, graphics, logos, icons, content, sound recording, tutorials, audio/visual clips and design (collectively, ""Content"").<br/>All of the materials contained on the Website are copyrighted, except where explicitly noted otherwise.<br/>The Futureed Pte Ltd site may be used only by you and your employees, or individuals under your control and/or supervision.<br/>These Terms and Conditions of Use do not grant to or create in the Customer, any user, or any other person any proprietary interest or intellectual property rights in or to the Futureed Pte Ltd site or any assessment tools, or information or other content comprising or available on the Futureed Pte Ltd site.<br/>You may not use, copy, reproduce, republish, upload, post, transmit, distribute, or modify the trademarks or the Content, without the express permission of Futureed Pte Ltd in each instance, unless such Content is posted by you.<br/>The use of Futureed Pte Ltd or KCGA copyrighted materials on any other website is strictly prohibited.<br/>Futureed Pte Ltd and KCGA will aggressively enforce its intellectual property rights to the fullest extent of the law, including the seeking of criminal prosecution.","ما لم يذكر خلاف ذلك، المجموعة أو الجهات المرخصة لها كافة حقوق الملكية في الموقع والمواد والمعلومات المنشورة، بما في ذلك دون الحصر، الصور، النصوص، والرسومات والشعارات والرموز، والمحتوى، والمحتوى الصوتي، والبرامج التعليمية، والمقاطع المرئية وحقوق الطبع والنشر. <br/> جميع المواد الواردة في هذا الموقع محفوظة الحقوق، إلا إذا ذكر خلاف ذلك بشكل صريح. <br/> يمكن استخدام موقع Futureed من قبل أنت وموظفيك، أو الأفراد الذين يخضعون لسيطرتك و / أو إشرافك. < br/> هذه الشروط والأحكام لا تمنح العميل، أي مستخدم، أو أي شخص آخر أي ملكية فكرية أو حقوق الملكية في موقع Futureed أو أدوات التقييم، أو المعلومات أو غيرها من المحتويات المكونة من أو على موقع Futureed. <br/> لا يجوز استخدام أو نسخ أو إعادة إنتاج أو نشر أو تحميل أو نشر أو نقل أو توزيع أو تعديل العلامات التجارية أو المحتوى، دون الحصول على إذن صريح من Futureed، إلا إذا قمت نشر هذا المحتوى. <br/> استخدام محتوى موقع Futureed أو المجموعة على أي موقع آخر ممنوعة. <br/> سوف تفرض Futureed  أو المجموعة حقوق الملكية الفكرية إلى أقصى حد يسمح به القانون، بما في ذلك السعي للمقاضاة الجنائية."
,
"Confidential Information","المعلومات السرية"
,
"Confidential Information includes these terms, statements of work, license agreements, business and marketing plans and strategies, non-public business and technology information, trade secrets, Content included in assessments by you, any written materials marked as confidential and any other information, including visual and oral information, which reasonably should be understood to be confidential.<br/>Futureed Pte Ltd will use commercially reasonable technology, industry best practices to ensure the integrity and security of all Confidential Information with respect to theft, piracy, and unauthorized access.","تتضمن المعلومات السرية هذه الشروط، بيانات العمل واتفاقات الترخيص وخطط واستراتيجيات الأعمال والتسويق، والأعمال التجارية وتكنولوجيا المعلومات والأسرار التجارية والمحتوى المدرج في التقييم من قبلك، أي مواد مكتوبة وسرية وأية معلومات أخرى، بما في ذلك المعلومات المرئية واللفظية، التي تعرف بأنها سرية. <br/> سوف تستخدم Futureed التكنولوجيا الآمنة، وأفضل الممارسات لضمان سلامة وأمن جميع المعلومات السرية فيما يتعلق بالسرقة والقرصنة والوصول غير المصرح به ."
,
"Indemnity Obligation","تعويض الالتزام"
,
"To the extent allowed by law, you agree to indemnify and hold harmless KCGA against any and all claims and expenses, including reasonable attorneys’ fees, arising from the use of KCGA products, services and this web site.<br/>This indemnification expressly includes your responsibility for any and all liability arising from the violation or infringement of copyrights, trademarks or other proprietary rights and from the use of any libelous or unlawful material contained submitted.","إلى الحد الذي يسمح به القانون، فإنك توافق على تحمل جميع المطالبات والنفقات، بما في ذلك أتعاب المحاماة، الناتجة عن استخدام منتجات المجموعة وهذا الموقع. <br/> لهذا التعويض يشمل المسؤولية عن أي وكل المسؤولية الناشئة عن انتهاك أو التعدي على حقوق التأليف والنشر والعلامات التجارية أو غيرها من حقوق الملكية ومن استخدام أي مواد تشهيرية أو غير قانونية."
,
"Right To Terminate","الحق في الإنهاء"
,
"KCGA reserves the right to suspend or terminate your use of the web site and the services at any time, without notice, if you are found in violation of our terms in this agreement.","تحتفظ المجموعة بالحق في تعليق أو إنهاء استخدامك لهذا الموقع والخدمات في أي وقت، ودون سابق إنذار، إذا ما ثبت قيامك بانتهاك بنود هذا الاتفاق."
,
"DISCLAIMER","إخلاء المسئولية"
,
"FUTUREED PTE LTD IS PROVIDED “AS IS” AND “WITH ALL FAULTS,” AND WITHOUT WARRANTY OF ANY KIND, AND USE OF FUTUREED PTE LTD IS AT EACH USER’S OWN RISK. TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA DISCLAIMS ALL EXPRESS, AND IMPLIED WARRANTIES, AND CONDITIONS, WHETHER BY STATUTE, COMMON LAW, CUSTOM, COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OF TRADE, OR OTHERWISE, RELATING TO FUTUREED PTE LTD INCLUDING (BUT NOT LIMITED TO) ALL WARRANTIES AND CONDITIONS OF MERCHANTABILITY, MERCHANTABLE QUALITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, LACK OF VIRUSES, AND NON-INFRINGEMENT. TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, FUTUREED PTE LTD MAKES NO REPRESENTATION, WARRANTY, OR GUARANTY RELATING TO THE SUITABILITY, RELIABILITY, AVAILABILITY, TIMELINESS, QUALITY, ACCURACY, OR COMPLETENESS OF FUTUREED PTE LTD, ANY DATA, INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD, OR THE ACCURACY OF THE INFORMATIONAL CONTENT, FOR ANY PURPOSE. WITHOUT LIMITING THE GENERALITY OF THE FOREGOING, TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA MAKES NO REPRESENTATION, WARRANTY, OR GUARANTY THAT FUTUREED PTE LTD WILL MEET ANY USER’S REQUIREMENTS OR EXPECTATIONS, THAT FUTUREED PTE LTD WILL BE ERROR-FREE, THAT ANY DEFECTS OR ERRORS WILL BE CORRECTED, OR THAT THE DATA, INFORMATION, RECORDS OR OTHER RESULTS OBTAINED FROM THE USE OF FUTUREED PTE LTD WILL BE ACCURATE OR RELIABLE FOR ANY OTHER PURPOSE.","يقدم موقع FUTUREED ""كما هو"" و ""مع كافة العيوب،"" وبدون أي ضمان من أي نوع، واستخدام FUTUREED هو مسؤولية  كل مستخدم. وبناء للحد الأقصى الذي يسمح به القانون المعمول به، تخلي المجموعة كافة الضمانات الضمنية والصريحة، والشروط، سواء بموجب النظام أو القانون العام أو العرف، مسار التعامل، الأداء أو استخدام التجارة، أو غير ذلك، المتعلقة بموقع FUTUREED بما في ذلك (ولكن ليس على سبيل الحصر) كافة الضمانات والشروط التجارية، والجودة التجارية، والملاءمة لغرض معين، والعنوان، وخلو الفيروسات، وعدم الانتهاك. وإلى الحد الأقصى الذي يسمح به القانون المعمول به، لا يقدم موقع FUTUREED أي تمثيل أو ضمان، أو كفالة متعلقة بمدى ملاءمة، اعتمادية و توفير الوقت المناسب ونوعيتها، ودقة أو اكتمال FUTUREED ، أية بيانات، معلومات، سجلات، أو النتائج المتحصلة أو الناتجة عن استخدام FUTUREED، أو دقة محتوى المعلومات، لأي غرض من الأغراض. دون الحد من عمومية ما سبق، وإلى الحد الأقصى الذي يسمح به القانون المعمول به، لا تقدم المجموعة أي تمثيل أو ضمان، أو كفالة تلبي توقعات أي مستخدم، أو ضمانات بثبات FUTUREED خالي من الأخطاء، وأي عيوب أو أخطاء سوف يتم تصحيحها، أو أن البيانات والمعلومات والسجلات أو غيرها من النتائج التي يتم الحصول عليها عند استخدام FUTUREED ستكون دقيقة أو موثوق بها لأي غرض آخر."
,
