"DO NOT EDIT","Thai"
"Thank you for registering to Future Lesson!","ขอบคุณสำหรับการลงทะเบียนเพื่อบทเรียนในอนาคต!"
"A confirmation code has been sent to your email account.","รหัสยืนยันได้ถูกส่งไปยังบัญชีอีเมล์ของคุณ"
"Please enter the confirmation code to verify your email address and to setup your new password.","กรุณาใส่รหัสยืนยันเพื่อยืนยันที่อยู่อีเมล์ของคุณและการตั้งค่ารหัสผ่านใหม่"
"A new confirmation code has been sent to your email account.","รหัสยืนยันใหม่ได้รับการส่งไปยังบัญชีอีเมล์ของคุณ"
"You\re","คุณ"
"Register Account as","ลงทะเบียนบัญชีเป็น"
"Sign up via Facebook","ลงทะเบียนผ่านทาง Facebook"
"Sign up with Google","ลงทะเบียนผ่านบัญชี Google"
"FUTUREED PTE LTD CLIENT TERMS AND CONDITIONS","ข้อกำหนดและข้อบังคับของผู้ใช้บริการ FUTUREED PTE LTD"
"Thank you for choosing Futureed Pte Ltd for your assessment needs.<br/>We intend to provide provide you with a best-in-industry products that are of high quality, price competitive, psychometrically sound and in a technically reliable manner.<br/>To achieve that goal, we need to make certain legal declarations to ensure that our Service is being used in a reasonable, safe, and legal way.<br/>These Terms may be updated from time to time. Notice of modifications to these Terms will appear on this page.","ขอขอบคุณที่เลือก Futures Pte Ltd สำหรับความต้องการของคุณประเมิน  <br/> เราตั้งใจที่จะให้ให้คุณมีผลิตภัณฑ์ที่ดีที่สุดในอุตสาหกรรมที่มีคุณภาพสูง แข่งขันทางราคาได้ ความน่าเชื่อถือ <br /> เพื่อให้บรรลุเป้าหมายที่เราต้องการที่จะทำข้อตกลงทางกฎหมายบางอย่างเพื่อให้มั่นใจว่าบริการของเราจะถูกนำมาใช้ในทางที่เหมาะสม ปลอดภัยและถูกต้องตามกฎหมาย <br/> ข้อตกลงเหล่านี้อาจได้รับการปรับปรุงเป็นครั้งคราว เมื่อมีการปรับเปลี่ยนข้อตกลงเหล่านี้ จะมีการแจ้งให้ทราบ"
"Introduction","บทแนะนำ"
"If you are using Futureed Pte Ltd on behalf of a business entity or other organization, you represent and warrant to KCGA that you have the authority to legally bind such business entity or other organization to these Terms and Conditions of Use.<br/>In such event, both you, acting on behalf of the business entity or other organization, and the business entity or other organization for whom you act, are jointly and severally bound by these Terms and Conditions of Use and references in these Terms and Conditions of Use to ""Customer,"" ""you"" or ""your"" refer to both you, acting on behalf of the business entity or other organization, and the business entity or other organization for whom you act, jointly and severally. It also implies that if you transfer the administration of the account of your organization to another person within the same organization, that person will also be taken legally to be representing and acting on behalf of the business entity of the registration and account.","ถ้าคุณกำลังใช้ Futureed Pte Ltd ในนามขององค์กรธุรกิจหรือองค์กรอื่นๆ ที่คุณรับรองและรับประกันการ KCGA ว่าคุณมีอำนาจที่จะผูกพันองค์กรธุรกิจดังกล่าวหรือองค์กรอื่นๆ เพื่อข้อตกลงและเงื่อนไขการใช้งานนี้ <br/> ใน เหตุการณ์ดังกล่าวทั้งคุณทำหน้าที่ในนามของกิจการธุรกิจหรือองค์กรอื่นๆ และองค์กรธุรกิจหรือองค์กรอื่นๆ สำหรับคนที่คุณทำหน้าที่จะร่วมกันและต่างผูกพันตามข้อตกลงและเงื่อนไขในการใช้งานและการอ้างอิงในข้อกำหนดและเงื่อนไขการใช้งานนี้ ที่ ""ลูกค้า"" ""คุณ"" หรือ ""คุณ"" หมายถึงทั้งคุณทำหน้าที่ในนามของกิจการธุรกิจหรือองค์กรอื่นๆ และองค์กรธุรกิจหรือองค์กรอื่นๆ สำหรับคนที่คุณทำหน้าที่ร่วมกันและต่าง นอกจากนี้ยังแสดงให้เห็นว่าถ้าคุณถ่ายโอนการบริหารงานของบัญชีขององค์กรของคุณให้กับบุคคลอื่นภายในองค์กรเดียวกันคนที่จะต้องดำเนินการตามกฎหมายที่จะเป็นตัวแทนและทำหน้าที่ในนามขององค์กรธุรกิจของการลงทะเบียนและบัญชี"
"Using Futureed","การใช้งาน Futureed"
"Futureed Pte Ltd is made available by Kosh Consulting Group (Asia) Pte Ltd (KCGA) and provides an online assessmsessment tools to remotely test candidates on areas of psychometric abilities and personality.<br/>The two entities are used interchangeably for legal purposes.<br/>By registering to use Futureed, you are consenting to the terms and conditions as follows in this agreement.<br/>We also have a privacy policy which you can also find on our website.","Futureed Pte Ltd เปิดใช้งานได้โดย Kosh Consulting Group (Asia) Pte Ltd (KCGA) ให้เครื่องมือการประเมินออนไลน์จากระยะไกลผู้สมัครทดสอบในพื้นที่ที่มีความสามารถทางจิตวิทยาและบุคลิกภาพ <br/> ทั้งสองหน่วยงานจะใช้สลับกันเพื่อวัตถุประสงค์ทางกฎหมาย <br/> โดยการลงทะเบียนใช้ Futureed คุณจะให้ความยินยอมในข้อกำหนดและเงื่อนไขดังต่อไปนี้ในข้อตกลงนี้.<br/> เรายังมีนโยบายความเป็นส่วนตัวที่คุณสามารถค้นหาบนเว็บไซต์ของเรา"
"Otherwise, if you fail to have the legal authority to bind such business entity or other organization or if you are not using the Futureed Pte Ltd site on behalf of a business entity or other organization, you agree that these Terms and Conditions of Use are binding to you in your individual capacity and references in these Terms and Conditions of Use to ""KCGA Customer,"" ""you"" or ""your"" refer to you in your individual capacity.","มิฉะนั้น ถ้าหากคุณปฏิเสธที่จะมีอำนาจตามกฎหมายที่จะลงนามผูกพันนิติบุคคล เช่น ธุรกิจหรือองค์กรอื่นๆ หรือถ้าคุณไม่ได้ใช้เว็บไซต์ Futureed Pte Ltd ในนามขององค์กรธุรกิจหรือองค์กรอื่นๆ ที่คุณเห็นว่าข้อตกลงและเงื่อนไขในการใช้งานเหล่านี้จะมีผลผูกพัน ให้กับคุณในความสามารถของแต่ละบุคคลและการอ้างอิงในข้อตกลงและเงื่อนไขในการใช้เพื่อ ""ลูกค้า KCGA"" ""คุณ"" หรือ ""คุณ"" หมายถึงคุณในความสามารถของแต่ละบุคคล"
"Responsibility for Use","ความรับผิดชอบสำหรับการใช้งาน"
"As the account user or user of Futureed, you assume full responsibility for all use of Futureed Pte Ltd by yourself and others within your organization.<br/>You agree that each individual who accesses and uses Futureed Pte Ltd acts on behalf and for the account of the Customer, and the Customer is responsible for any wrongful acts, and omissions by a user, and a user’s breach or default of these Terms and Conditions of Use.","ในฐานะที่เป็นบัญชีผู้ใช้หรือผู้ใช้ Futureed คุณรับผิดชอบอย่างเต็มที่สำหรับการใช้งานทั้งหมดของ Futureed Pte Ltd ด้วยตัวเองและคนอื่นๆ ภายในองค์กรของคุณ <br/> คุณยอมรับว่าบุคคลที่เข้าถึงและใช้ Futureed Pte Ltd ทำหน้าที่ในนามและสำหรับแต่ละบัญชีของลูกค้าและลูกค้าเป็นผู้รับผิดชอบต่อการกระทำที่ผิดพลาดใดๆ และการละเว้นการกระทำโดยผู้ใช้และการละเมิดของผู้ใช้หรือเริ่มต้นของข้อตกลงและเงื่อนไขการใช้งานนี้"
"You represent, warrant, and covenant that:","คุณเป็นตัวแทนของใบสำคัญแสดงสิทธิและพันธสัญญาว่า"
,
"You will submit reasonable and appropriate documentation as requested by KCGA for us to make an assessment on your suitability and qualification to use the Futureed Pte Ltd products and services.","คุณจะส่งเอกสารที่เหมาะสมและเหมาะสมตามที่ร้องขอโดย KCGA สำหรับเราที่จะทำให้การประเมินเกี่ยวกับความเหมาะสมและคุณสมบัติของคุณที่จะใช้ผลิตภัณฑ์และบริการของ Futureed Pte Ltd"
,
"You will ensure that reasonable safeguards are taken for the protection of your password. You understand that we do not have access to your password and that you must create a new unique password in the event that you lose or forget your password.","คุณจะมั่นใจว่าป้องกันที่เหมาะสมจะถูกนำสำหรับการป้องกันรหัสผ่านของคุณ คุณเข้าใจดีว่าเราไม่ได้มีการเข้าถึงรหัสผ่านของคุณและคุณจะต้องสร้างรหัสผ่านที่ไม่ซ้ำกันใหม่ในกรณีที่คุณสูญเสียหรือลืมรหัสผ่านของคุณ"
,
"We will have the right to delete your Futureed Pte Ltd account and all associated records after a period of 18 months of inactivity on your Futureed Pte Ltd account.","เราจะมีสิทธิ์ในการลบบัญชี Futureed Pte Ltd ของคุณและบันทึกที่เกี่ยวข้องทั้งหมดหลังจากช่วงระยะเวลา 18 เดือนไม่มีการใช้งานในบัญชี Futureed Pte Ltd ของคุณ"
,
"You are solely responsible for backing up all data and records submitted to Futureed Pte Ltd and assume full responsibility for providing backup storage facility for records for any candidate records that are captured on Futureed, and you agree not to rely on Futureed Pte Ltd for storage of the results of candidate assessments.","คุณจะต้องรับผิดชอบสำหรับการสำรองข้อมูลและระเบียนทั้งหมดส่งไปยัง Futureed Pte Ltd และรับผิดชอบอย่างเต็มที่สำหรับการให้บริการสถานที่จัดเก็บสำรองข้อมูลสำหรับบันทึกสำหรับระเบียนผู้สมัครใดๆ ที่ถูกจับในฟิวเจอร์สและคุณตกลงที่จะไม่พึ่งพา Futureed Pte Ltd สำหรับการจัดเก็บผลของการประเมินผู้สมัคร"
,
"No Unlawful Use","ไม่มีการใช้งานที่ผิดกฎหมาย"
,
"As a responsible user, you agree that you will not use the Futureed Pte Ltd site, or any product, or service provided by or made available on or from the Futureed Pte Ltd site for any unlawful purpose.","ในฐานะที่เป็นผู้ใช้ความรับผิดชอบ คุณยอมรับว่าคุณจะไม่ใช้เว็บไซต์ Futures Pte Ltd หรือผลิตภัณฑ์ใดๆ หรือการให้บริการที่มีอยู่หรือจากเว็บไซต์ใน Futureed Pte Ltd เพื่อวัตถุประสงค์ใดๆ ที่ผิดกฎหมาย"
,
"Specifically, you agree to not use the Service to:","โดยเฉพาะคุณยินยอมที่จะไม่ใช้บริการเพื่อ"
,
"Use any device, software, or routine to interfere or attempt to interfere with the proper working of the Futureed Pte Ltd site or any activity being conducted on the Futureed Pte Ltd site.","ใช้อุปกรณ์ซอฟต์แวร์หรือประจำใดๆ ที่จะแทรกแซงหรือพยายามแทรกแซงการทำงานที่เหมาะสมของเว็บไซต์ Futureed Pte Ltd หรือกิจกรรมใดๆ ที่จะถูกดำเนินการในเว็บไซต์ Futureed Pte Ltd"
,
"Upload, post, email, transmit or otherwise make available any Content that is unlawful, harmful, threatening, abusive, harassing, tortious, defamatory, vulgar, obscene, pornographic, libelous, invasive of another\s","อัพโหลด โพสต์ อีเมล์ ส่งหรือทำให้มีเนื้อหาใดๆ ที่ผิดกฎหมายที่เป็นอันตรายคุกคามที่ไม่เหมาะสม ล่วงละเมิด ผิดทางแพ่ง หมิ่นประมาท หยาบคาย ลามกอนาจาร หมิ่นประมาท รุกรานผู้อื่น \ s"
,
"Harm minors in any way;","อันตรายต่อผู้เยาว์ในทางใดทางหนึ่ง"
,
"Impersonate any person or entity, including, but not limited to, a KCGA official, or host, or falsely state or otherwise misrepresent your affiliation with a person or entity;","ปลอมตัวเป็นบุคคลหรือนิติบุคคลใดๆ ซึ่งรวมถึง แต่ไม่จำกัดเพียงการอย่างเป็นทางการ KCGA หรือเจ้าภาพหรือให้ข้อมูลเท็จหรือบิดเบือนความเกี่ยวข้องกับบุคคลหรือนิติบุคคล ;"
,
"Forge headers or otherwise manipulate identifiers in order to disguise the origin of any Content transmitted through Futureed;","ปลอมส่วนหัวหรือมิฉะนั้นจะจัดการกับตัวบ่งชี้ในการสั่งซื้อที่จะปกปิดที่มาของเนื้อหาใดๆ ที่ส่งผ่าน Futureed นั้น"
,
"Upload, post, email, transmit or otherwise make available any Content that you do not have a right to make available under any law or under contractual or fiduciary relationships (such as inside information, proprietary and confidential information learned or disclosed as part of employment relationships or under nondisclosure agreements);","อัพโหลด โพสต์ อีเมล์ ส่งหรือทำให้มีเนื้อหาใดๆ ที่คุณไม่ได้มีสิทธิที่จะทำให้อยู่ภายใต้กฎหมายหรือภายใต้ความสัมพันธ์ทางสัญญาหรือความไว้วางใจ (เช่น ข้อมูลที่เป็นกรรมสิทธิ์และข้อมูลที่เป็นความลับได้เรียนรู้หรือการเปิดเผยเป็นส่วนหนึ่งของความสัมพันธ์ของการจ้างงานภายใน หรือภายใต้สัญญาไม่เปิดเผย);"
,
"Upload, post, email, transmit or otherwise make available any Content that infringes any patent, trademark, trade secret, copyright or other proprietary rights of any party;","อัพโหลด โพสต์ อีเมล์ ส่งหรือทำให้มีเนื้อหาใดๆ ที่ละเมิดสิทธิบัตรเครื่องหมายการค้าความลับทางการค้าลิขสิทธิ์หรือกรรมสิทธิ์อื่นๆ ของบุคคลใดๆ"
,
"Upload, post, email, transmit or otherwise make available any unsolicited or unauthorized advertising, promotional materials, ""junk mail,"" ""spam,"" ""chain letters,"" ""pyramid schemes,"" or any other form of solicitation, except in those areas (such as shopping) that are designated for such purpose;","อัพโหลด โพสต์ อีเมล์ ส่งหรือทำให้มีโฆษณาใดๆ ที่ไม่พึงประสงค์หรือไม่ได้รับอนุญาตสื่อส่งเสริมการขาย ""อีเมลขยะ"" ""สแปม"", ""จดหมายลูกโซ่"", ""แผนการปิระมิด"" หรือรูปแบบอื่นๆ ของการชักชวนนอกเหนือจากที่กล่าวไปนั้น (เช่น ช้อปปิ้ง) ที่ได้รับมอบหมายเพื่อวัตถุประสงค์ดังกล่าว"
,
"Upload, post, email, transmit or otherwise make available any material that contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any part of Futureed;","อัพโหลด โพสต์ อีเมล์ ส่งหรือทำให้มีวัสดุใดๆ ที่มีไวรัสคอมพิวเตอร์หรือรหัสคอมพิวเตอร์อื่นๆ ไฟล์หรือโปรแกรมที่ออกแบบมาเพื่อรบกวนทำลายหรือจำกัดการทำงานของส่วนหนึ่งของ Futureed ใดๆ;"
,
"Disrupt the normal flow of dialogue, cause a screen to ""scroll"" faster than other users of the Service are able to type, or otherwise act in a manner that negatively affects other users","รบกวนการสื่อสารในการเจรจาทำให้หน้าจอที่จะ ""เลื่อน"" เร็วกว่าผู้ใช้บริการรายอื่นๆ สามารถที่จะพิมพ์หรือกระทำการในลักษณะที่ส่งผลกระทบต่อผู้ใช้อื่นๆ "
,
"Interfere with or disrupt the service of Futureed Pte Ltd or another person\s","รบกวนหรือก่อกวนบริการของ Futureed Pte Ltd หรือคนอื่น"
,
"Intentionally or unintentionally violate any applicable law, statute, ordinance, regulation, rule or code, including, but not limited to, any regulations, rules, notices, instructions or directives of any regulatory body or authority, governmental agency or national or other securities exchange ;","เจตนาหรือไม่เจตนาละเมิดกฎหมายที่ใช้บังคับพระราชบัญญัติ พระราชกฤษฎีกา ระเบียบ กฎหรือข้อบังคับ แต่ไม่จำกัดเฉพาะการใดๆ ระเบียบ ข้อบังคับ ประกาศ คำสั่งหรือคำสั่งขององค์กรกำกับดูแลใดหรือผู้มีอำนาจซึ่งเป็นหน่วยงานของรัฐหรือตราสารแห่งชาติหรืออื่นๆแลกเปลี่ยน ;"
,
"Provide material support or resources (or to conceal or disguise the nature, location, source, or ownership of material support or resources) to any organization(s) designated by Singapore, your country or the United States government as a foreign terrorist organization;","ให้การสนับสนุนหรือทรัพยากร (หรือซ่อนเร้นหรืออำพรางลักษณะที่ตั้งของแหล่งที่มาหรือความเป็นเจ้าของของการสนับสนุนหรือทรัพยากรให้กับองค์กรใดๆ ) ที่กำหนดโดยสิงคโปร์ขายในประเทศของรัฐบาลสหรัฐอเมริกาเป็นองค์กรก่อการร้ายต่างประเทศ"
,
"""stalk"" or otherwise harass another;","""ติดตาม"" หรือก่อกวนผู้อื่น"
,
"Commit any fraudulent or unlawful act, whether in relation to any third party provider of products and services on the Service or otherwise and/or","กระทำการฉ้อโกงหรือผิดกฎหมายใดๆ ไม่ว่าในความสัมพันธ์กับผู้ให้บริการของบุคคลที่สามของสินค้าและบริการในบริการหรืออื่นๆ และ / หรือ"
,
"Collect or store personal data about other users in connection with the prohibited conduct and activities set forth in this agreement;","เก็บรวบรวมหรือเก็บข้อมูลส่วนบุคคลเกี่ยวกับผู้ใช้คนอื่นๆ ในการเชื่อมต่อกับการดำเนินการและกิจกรรมต้องห้ามที่กำหนดไว้ในข้อตกลงนี้"
,
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects the national security of Singapore","สร้าง แสดง ส่งหรือได้รับวัสดุที่เป็นภัยคุกคามหรือมีผลกระทบต่อการรักษาความปลอดภัยแห่งชาติสิงคโปร์"
,
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects racial harmony in Singapore;","สร้าง แสดง ส่งหรือได้รับวัสดุที่เป็นภัยคุกคามหรือมีผลกระทบต่อความสามัคคีของเชื้อชาติในสิงคโปร์"
,
"Create, display, transmit, or obtain materials that violates intellectual property laws;","สร้าง แสดง ส่งหรือได้รับวัสดุที่ละเมิดกฎหมายทรัพย์สินทางปัญญา"
,
"Use of machines, computers, scripts, ""bots"" or any automated system on Futureed Pte Ltd is strictly prohibited and may result in criminal liability. Futureed Pte Ltd may terminate and permanently disqualify any User who, in its sole discretion, determines as being in violation of these Terms of Service. All decisions by Futureed Pte Ltd are final;","ห้ามใช้งานสคริปต์เครื่องคอมพิวเตอร์ ""บอท"" หรือระบบอัตโนมัติใดๆ บน Futureed Pte Ltd เป็นเด็ดขาดและอาจส่งผลในความรับผิดทางอาญา Futureed Pte Ltd อาจบอกเลิกอย่างถาวรและตัดสิทธิ์ผู้ใช้ที่อยู่ในดุลยพินิจของตนในฐานะที่เป็นตัวกำหนดในการละเมิดข้อกำหนดในการให้บริการเหล่านี้ การตัดสินใจทั้งหมดโดย Futureed Pte Ltd ถือเป็นที่สิ้นสุด;"
,
"Futureed Pte Ltd may include hyperlinks to Websites operated by parties other than Futureed Pte Ltd including advertisers and other content providers. Those sites may collect data or solicit personal information from you. Futureed Pte Ltd does not control such Websites, and is not responsible for their content, privacy policies, or for the collection, use or disclosure of any information those sites may collect.","Futureed Pte Ltd อาจรวมถึงการเชื่อมโยงไปยังเว็บไซต์ที่ดำเนินการโดยบุคคลอื่นที่ไม่ใช่ Futureed Pte Ltd รวมถึงผู้โฆษณาและผู้ให้บริการเนื้อหาอื่น ๆ เว็บไซต์เหล่านั้นอาจเก็บรวบรวมข้อมูลหรือขอข้อมูลส่วนบุคคลจากคุณ Futureed Pte Ltd ไม่ได้ควบคุมเว็บไซต์ดังกล่าวและจะไม่รับผิดชอบต่อเนื้อหาของพวกเขานโยบายความเป็นส่วนตัวหรือสำหรับการเก็บรวบรวมการใช้หรือการเปิดเผยข้อมูลใด ๆ ที่เว็บไซต์เหล่านั้นอาจเก็บรวบรวม."
,
"Futureed Pte Ltd and KCGA makes no guarantee of the accuracy, correctness, or completeness of any information on these web pages, surveys, databases, or results, and are not responsible for a) any errors or omissions arising from the use of such information; 2) any failures, delays, or interruptions in the delivery of any content or services contained on our servers; or 3) losses or damages arising from the use of the content or services provided by us.","Futureed Pte Ltd และ KCGA ไม่มีการรับประกันความถูกต้องหรือความครบถ้วนสมบูรณ์ของข้อมูลใดๆ บนหน้าเว็บเหล่านี้การสำรวจฐานข้อมูลหรือผลลัพธ์และจะไม่รับผิดชอบต่อ ข้อผิดพลาดหรือการละเว้นการกระทำที่เกิดขึ้นจากการใช้ข้อมูลดังกล่าวใดๆ 2) ความล้มเหลว, ความล่าช้าหรือหยุดชะงักในการส่งมอบเนื้อหาหรือบริการใดๆ ที่อยู่ในเซิร์ฟเวอร์ของเรานั้น หรือ 3) ความสูญเสียหรือความเสียหายที่เกิดจากการใช้เนื้อหาหรือการให้บริการของเรา"
,
"Intellectual Property Rights","สิทธิในทรัพย์สินทางปัญญา"
,
"Unless otherwise indicated, KCGA or its licensors own and retain all proprietary rights in the website and all material and information posted thereon, including without limitation photographs, text, graphics, logos, icons, content, sound recording, tutorials, audio/visual clips and design (collectively, ""Content"").<br/>All of the materials contained on the Website are copyrighted, except where explicitly noted otherwise.<br/>The Futureed Pte Ltd site may be used only by you and your employees, or individuals under your control and/or supervision.<br/>These Terms and Conditions of Use do not grant to or create in the Customer, any user, or any other person any proprietary interest or intellectual property rights in or to the Futureed Pte Ltd site or any assessment tools, or information or other content comprising or available on the Futureed Pte Ltd site.<br/>You may not use, copy, reproduce, republish, upload, post, transmit, distribute, or modify the trademarks or the Content, without the express permission of Futureed Pte Ltd in each instance, unless such Content is posted by you.<br/>The use of Futureed Pte Ltd or KCGA copyrighted materials on any other website is strictly prohibited.<br/>Futureed Pte Ltd and KCGA will aggressively enforce its intellectual property rights to the fullest extent of the law, including the seeking of criminal prosecution.","เว้นแต่จะระบุเป็นอย่างอื่น KCGA หรือใบอนุญาตของเจ้าของและรักษากรรมสิทธิ์ทั้งหมดในเว็บไซต์และวัสดุและข้อมูลที่โพสต์ทั้งหมดดังกล่าวรวมถึง แต่ไม่ถ่ายภาพข้อ จำกัด  ข้อความ กราฟฟิค โลโก้ ไอคอน เนื้อหา บันทึกเสียง บทสอนเสียง / คลิปภาพและ การออกแบบ (รวมเรียกว่า ""เนื้อหา"") <br/> ทั้งหมดของวัสดุที่มีอยู่ในเว็บไซต์ที่มีลิขสิทธิ์นอกจากที่ระบุอย่างชัดเจน <br/> เว็บไซต์ Futureed Pte Ltd อาจถูกใช้โดยคุณและพนักงานของคุณหรือเฉพาะ บุคคลภายใต้การควบคุมและ / หรือการกำกับดูแลของคุณ <br/> ข้อตกลงและเงื่อนไขในการใช้งานเหล่านี้ไม่ให้ไปหรือสร้างในลูกค้าผู้ใช้ใดๆ หรือบุคคลอื่นใดสนใจหรือทรัพย์สินทางปัญญาที่เป็นกรรมสิทธิ์สิทธิใดๆ หรือเว็บไซต์ Futureed Pte Ltd หรือเครื่องมือในการประเมินใดๆ หรือสอบถามข้อมูลหรือเนื้อหาอื่นๆ ประกอบไปด้วยหรือที่มีอยู่บนเว็บไซต์ Futureed Pte Ltd <br/> คุณไม่สามารถใช้คัดลอกทำซ้ำเผยแพร่อัพโหลดโพสต์แจกจ่ายหรือปรับเปลี่ยนเครื่องหมายการค้าหรือ เนื้อหาโดยไม่ได้รับอนุญาตจาก Futureed Pte Ltd ในแต่ละกรณีเว้นแต่เนื้อหาดังกล่าวถูกโพสต์โดยคุณ <br/> การใช้ Futureed Pte Ltd หรือ KCGA เนื้อหาที่มีลิขสิทธิ์ในเว็บไซต์อื่นๆ ที่เป็นสิ่งต้องห้ามอย่างเคร่งครัด <br/> Futureed Pte Ltd และ KCGA อาจจะบังคับใช้สิทธิในทรัพย์สินทางปัญญาไปตามกฎหมายรวมทั้งการแสวงหาของการฟ้องร้องทางอาญา"
,
"Confidential Information","ข้อมูลที่เป็นความลับ"
,
"Confidential Information includes these terms, statements of work, license agreements, business and marketing plans and strategies, non-public business and technology information, trade secrets, Content included in assessments by you, any written materials marked as confidential and any other information, including visual and oral information, which reasonably should be understood to be confidential.<br/>Futureed Pte Ltd will use commercially reasonable technology, industry best practices to ensure the integrity and security of all Confidential Information with respect to theft, piracy, and unauthorized access.","ข้อมูลที่เป็นความลับรวมถึงข้อกำหนดเหล่านี้งบของการทำงานข้อตกลงใบอนุญาตธุรกิจและแผนการตลาดและกลยุทธ์ธุรกิจที่ไม่ใช่ภาครัฐและเทคโนโลยีสารสนเทศความลับทางการค้าเนื้อหารวมอยู่ในการประเมินผลโดยคุณวัสดุที่เป็นลายลักษณ์อักษรที่ทำเครื่องหมายไว้เป็นความลับและข้อมูลอื่นๆ รวมทั้ง ข้อมูลภาพและในช่องปากซึ่งสมเหตุสมผลควรจะเข้าใจเป็นความลับ. <br/> Futureed Pte Ltd จะใช้เทคโนโลยีที่เหมาะสมในเชิงพาณิชย์ การปฏิบัติที่ดีที่สุดในอุตสาหกรรมเพื่อให้มั่นใจความสมบูรณ์และความปลอดภัยของข้อมูลที่เป็นความลับทั้งหมดที่เกี่ยวกับการโจรกรรมการละเมิดลิขสิทธิ์และการเข้าถึงไม่ได้รับอนุญาต"
,
"Indemnity Obligation","พันธะการชดใช้"
"To the extent allowed by law, you agree to indemnify and hold harmless KCGA against any and all claims and expenses, including reasonable attorneys’ fees, arising from the use of KCGA products, services and this web site.<br/>This indemnification expressly includes your responsibility for any and all liability arising from the violation or infringement of copyrights, trademarks or other proprietary rights and from the use of any libelous or unlawful material contained submitted.","เท่าที่ได้รับอนุญาตตามกฎหมายคุณยินยอมที่จะชดใช้ค่าเสียหายและ KCGA ไม่เป็นอันตรายกับการเรียกร้องใดๆ และทั้งหมดและค่าใช้จ่ายรวมทั้งค่าทนายความที่เหมาะสมที่เกิดขึ้นจากการใช้ผลิตภัณฑ์ KCGA บริการและเว็บไซต์นี้ <br/> ความคุ้มครองนี้อย่างชัดแจ้ง รวมถึงความรับผิดชอบของคุณสำหรับการใดๆ และหนี้สินทั้งหมดที่เกิดจากการละเมิดหรือการละเมิดสิทธิในลิขสิทธิ์เครื่องหมายการค้าหรือกรรมสิทธิ์อื่นๆ และจากการใช้วัสดุหมิ่นประมาทหรือผิดกฎหมายใดๆ"
,
"Right To Terminate","สิทธิการยกเลิก"
,
"KCGA reserves the right to suspend or terminate your use of the web site and the services at any time, without notice, if you are found in violation of our terms in this agreement.","KCGA ขอสงวนสิทธิ์ในการระงับหรือยกเลิกการใช้งานของเว็บไซต์และบริการได้ตลอดเวลาโดยไม่ต้องแจ้งให้ทราบล่วงหน้าถ้าคุณจะพบในการละเมิดข้อกำหนดของเราในข้อตกลงนี้"
,
"DISCLAIMER","การปฏิเสธ"
,
"FUTUREED PTE LTD IS PROVIDED ""AS IS"" AND ""WITH ALL FAULTS,"" AND WITHOUT WARRANTY OF ANY KIND, AND USE OF FUTUREED PTE LTD IS AT CUSTOMER\S","FUTUREED PTE LTD ให้ ""ตามสภาพ"" และ ""ความผิดพลาดทั้งหมด"" และไม่มีการรับประกันใดๆ และการใช้ FUTUREED Pte Ltd ราวเป็นลูกค้า"
,
