"DO NOT EDIT","Bahasa Malaysia"
"Please check your inbox or your spam folder for the email.<br />The email contains a reset code that you need to input below.","Sila semak peti masuk anda atau folder spam anda untuk e-mel. <br /> E-mel ini mengandungi kod penetapan semula yang anda perlukan untuk masukan di bawah."
"Teacher Registration","Pendaftaran Guru"
"Register New Account","Mendaftar Akaun Baru"
"Please enter the confirmation code to confirm your email account.","Sila masukkan kod pengesahan untuk mengesahkan akaun e-mel anda."
"Please Login then proceed to My Profile to confirm your new email address.","Silakan Log Masuk kemudian dilanjutkan ke Profil saya untuk menentukn alamat email baru anda."
"Thank you for registering to Future Lesson!","Terima kasih kerana mendaftar untuk Pelajaran Masa Depan!"
"A confirmation code has been sent to your email account.","Kod pengesahan telah dihantar ke akaun e-mel anda."
"Please enter the confirmation code to verify your email address and to setup your new password.","Sila masukkan kod pengesahan untuk mengesahkan alamat e-mel anda dan untuk menyediakan kata laluan baru anda."
"A new confirmation code has been sent to your email account.","Kod pengesahan yang baru telah dihantar ke akaun e-mel anda."
"You\re","anda"
"Register Account as","Register Akaun Sebagai"
"Sign up via Facebook","Mendaftar melalui Facebook"
"Sign up with Google","Mendaftar melalui Google"
"FUTUREED PTE LTD CLIENT TERMS AND CONDITIONS","TERMA DAN SYARAT PELANGGAN FUTUREED PTE LTD"
"Thank you for choosing Futureed Pte Ltd for your assessment needs.<br/>We intend to provide provide you with a best-in-industry products that are of high quality, price competitive, psychometrically sound and in a technically reliable manner.<br/>To achieve that goal, we need to make certain legal declarations to ensure that our Service is being used in a reasonable, safe, and legal way.<br/>These Terms may be updated from time to time. Notice of modifications to these Terms will appear on this page.","Terima kasih untuk memilih Futureed Pte Ltd bagi keperluan penilaian anda. <br/> Kami berharap untuk menyediakan produk yang terbaik dalam industri yang berkualiti tinggi, harga yang berdaya saing, berbunyi psikometrik dan dengan cara yang boleh dipercayai secara teknikal. <br /> Untuk mencapai matlamat itu, kita perlu membuat pengisytiharan undang-undang tertentu untuk memastikan bahawa Perkhidmatan kami digunakan dengan cara yang berpatutan, selamat, dan undang-undang. <br/> Terma ini boleh dikemaskini dari semasa ke semasa. Notis pengubahsuaian Terma ini akan dipaparkan pada halaman ini."
"Introduction","Pengenalan"
"If you are using Futureed Pte Ltd on behalf of a business entity or other organization, you represent and warrant to KCGA that you have the authority to legally bind such business entity or other organization to these Terms and Conditions of Use.<br/>In such event, both you, acting on behalf of the business entity or other organization, and the business entity or other organization for whom you act, are jointly and severally bound by these Terms and Conditions of Use and references in these Terms and Conditions of Use to ""Customer,"" ""you"" or ""your"" refer to both you, acting on behalf of the business entity or other organization, and the business entity or other organization for whom you act, jointly and severally. It also implies that if you transfer the administration of the account of your organization to another person within the same organization, that person will also be taken legally to be representing and acting on behalf of the business entity of the registration and account.","Jika anda menggunakan Futureed Pte Ltd mewakili entiti perniagaan atau organisasi yang lain, anda mewakili dan menjamin kepada KCGA bahawa anda mempunyai kuasa untuk mengikat entiti perniagaan atau organisasi lain  secara undang-undang dengan Terma dan Syarat Penggunaan. <br/> Dalam keadaan sedemikian, anda bertindak mewakili pihak entiti perniagaan atau organisasi lain, dan entiti perniagaan atau organisasi lain untuk sesiapa anda bertindak, terikat dengan Terma dan Syarat Penggunaan secara bersama dan berasingan dan rujukan dalam Terma dan Syarat Penggunaan kepada ""Pelanggan"", ""anda"" atau ""anda"" merujuk kepada kedua-dua anda, yang bertindak bagi pihak entiti perniagaan atau organisasi lain, dan entiti perniagaan atau organisasi lain untuk sesiapa anda bertindak secara bersama dan berasingan. Ia juga menunjukkan bahawa jika anda memindahkan pentadbiran daripada akaun organisasi anda kepada orang lain dalam organisasi yang sama, orang itu juga akan mewakili dan bertindak bagi pendaftaran dan akaun entiti perniagaan secara sah."
"Using Futureed","Menggunakan Futureed"
"Futureed Pte Ltd is made available by Kosh Consulting Group (Asia) Pte Ltd (KCGA) and provides an online assessmsessment tools to remotely test candidates on areas of psychometric abilities and personality.<br/>The two entities are used interchangeably for legal purposes.<br/>By registering to use Futureed, you are consenting to the terms and conditions as follows in this agreement.<br/>We also have a privacy policy which you can also find on our website.","Futureed Pte Ltd disediakan oleh Kosh Consulting Group (Asia) Pte Ltd (KCGA) dan menyediakan alat penilaian dalam talian dari jauh untuk menguji calon-calon dalam bidang kebolehan dan personaliti psikometrik. <br/> Dua entiti digunakan secara saling berganti untuk tujuan undang-undang. <br/>Dengan mendaftar untuk menggunakan Futureed, anda bersetuju dengan terma-terma dan syarat-syarat dalam perjanjian ini seperti berikut. <br/> Kami juga mempunyai dasar privasi di mana anda boleh mencari di laman web kami."
"Otherwise, if you fail to have the legal authority to bind such business entity or other organization or if you are not using the Futureed Pte Ltd site on behalf of a business entity or other organization, you agree that these Terms and Conditions of Use are binding to you in your individual capacity and references in these Terms and Conditions of Use to ""KCGA Customer,"" ""you"" or ""your"" refer to you in your individual capacity.","Jika tidak, jika anda gagal untuk mempunyai kuasa undang-undang untuk mengikat entiti perniagaan atau organisasi lain atau jika anda tidak menggunakan laman web Futureed Pte Ltd bagi pihak entiti perniagaan atau organisasi, anda bersetuju bahawa Terma dan Syarat Penggunaan terikat kepada anda dalam kapasiti individu anda dan rujukan dalam Terma dan Syarat Penggunaan kepada ""Pelanggan KCGA"", ""anda"" atau ""anda"" merujuk kepada anda dalam kapasiti individu anda."
"Responsibility for Use","Tanggungjawab untuk Penggunaan"
"As the account user or user of Futureed, you assume full responsibility for all use of Futureed Pte Ltd by yourself and others within your organization.<br/>You agree that each individual who accesses and uses Futureed Pte Ltd acts on behalf and for the account of the Customer, and the Customer is responsible for any wrongful acts, and omissions by a user, and a user’s breach or default of these Terms and Conditions of Use.","Sebagai pengguna akaun atau pengguna Futureed, anda bertanggungjawab sepenuhnya untuk semua penggunaan Futureed Pte Ltd oleh diri sendiri dan orang lain dalam organisasi anda. <br/> Anda bersetuju bahawa setiap individu yang mengakses dan menggunakan Futureed Pte Ltd bertindak bagi pihak dan untuk akaun Pelanggan, dan Pelanggan bertanggungjawab bagi apa-apa perbuatan salah, dan kelalaian oleh pengguna, dan kemungkiran pengguna atau kelalaian Terma dan Syarat Penggunaan."
"You represent, warrant, and covenant that:","Anda mewakili, waran dan perjanjian bahawa:"
,
"You will submit reasonable and appropriate documentation as requested by KCGA for us to make an assessment on your suitability and qualification to use the Futureed Pte Ltd products and services.","Anda akan mengemukakan dokumentasi yang munasabah dan sesuai seperti yang diminta oleh KCGA bagi kita untuk membuat penilaian ke atas kesesuaian dan kelayakan anda untuk menggunakan produk dan perkhidmatan Futureed Pte Ltd."
,
"You will ensure that reasonable safeguards are taken for the protection of your password. You understand that we do not have access to your password and that you must create a new unique password in the event that you lose or forget your password.","Anda akan memastikan bahawa perlindungan sewajarnya diambil untuk melindungi kata laluan anda. Anda memahami bahawa kita tidak mempunyai akses kepada kata laluan anda dan anda perlu mencipta kata laluan yang unik dan baru sekiranya anda kehilangan atau terlupa kata laluan anda."
,
"We will have the right to delete your Futureed Pte Ltd account and all associated records after a period of 18 months of inactivity on your Futureed Pte Ltd account.","Kami mempunyai hak untuk memadam akaun Futureed Pte Ltd anda dan semua rekod yang berkaitan selepas tempoh 18 bulan tidak aktif dalam akaun Futureed Pte Ltd anda."
,
"You are solely responsible for backing up all data and records submitted to Futureed Pte Ltd and assume full responsibility for providing backup storage facility for records for any candidate records that are captured on Futureed, and you agree not to rely on Futureed Pte Ltd for storage of the results of candidate assessments.","Anda bertanggungjawab sepenuhnya untuk membuat sandaran semua data dan rekod yang dikemukakan kepada Futureed Pte Ltd dan menganggap tanggungjawab sepenuhnya untuk menyediakan kemudahan penyimpanan sandaran untuk rekod bagi mana-mana rekod calon yang dirakam di Futured, dan anda bersetuju untuk tidak bergantung kepada Futureed Pte Ltd untuk penyimpanan keputusan penilaian calon."
,
"No Unlawful Use","Tiada Penggunaan yang Menyalahi Undang-undang"
,
"As a responsible user, you agree that you will not use the Futureed Pte Ltd site, or any product, or service provided by or made available on or from the Futureed Pte Ltd site for any unlawful purpose.","Sebagai pengguna yang bertanggungjawab, anda bersetuju bahawa anda tidak akan menggunakan laman web Futureed Pte Ltd, atau mana-mana produk, atau perkhidmatan yang disediakan oleh atau disediakan pada atau dari laman web Futureed Pte Ltd untuk sebarang tujuan yang menyalahi undang-undang."
,
"Specifically, you agree to not use the Service to:","Secara khususnya, anda bersetuju untuk tidak menggunakan Perkhidmatan untuk:"
,
"Use any device, software, or routine to interfere or attempt to interfere with the proper working of the Futureed Pte Ltd site or any activity being conducted on the Futureed Pte Ltd site.","Gunakan mana-mana peranti, perisian atau rutin untuk mengganggu atau cuba mengganggu kerja laman web Futureed Pte Ltd yang sepatutnya atau sebarang aktiviti yang dijalankan di laman web Futureed Pte Ltd."
,
"Upload, post, email, transmit or otherwise make available any Content that is unlawful, harmful, threatening, abusive, harassing, tortious, defamatory, vulgar, obscene, pornographic, libelous, invasive of another\s","Memuat naik, pos e-mel, penghantaran atau menyediakan sebarang kandungan yang menyalahi undang-undang, berbahaya, mengancam, kesat, mengganggu, berunsur fitnah, lucah, menceroboh orang lain"
,
"Harm minors in any way;","Memudaratkan golongan bawah umur dalam apa jua cara;"
,
"Impersonate any person or entity, including, but not limited to, a KCGA official, or host, or falsely state or otherwise misrepresent your affiliation with a person or entity;","Menyamar sebagai sesiapa atau entiti, termasuk, tetapi tidak terhad kepada, seorang pegawai KCGA, atau tuan rumah, atau penyataaan salah atau tidak memaparkan hubungan anda dengan seseorang atau entiti;"
,
"Forge headers or otherwise manipulate identifiers in order to disguise the origin of any Content transmitted through Futureed;","Memalsukan tajuk-tajuk atau selainnya memanipulasikan identiti untuk menyamarkan asal usul sebarang Kandungan yang dihantar melalui Futureed;"
,
"Upload, post, email, transmit or otherwise make available any Content that you do not have a right to make available under any law or under contractual or fiduciary relationships (such as inside information, proprietary and confidential information learned or disclosed as part of employment relationships or under nondisclosure agreements);","Memuat naik, pos, e-mel, menghantar atau selainnya menyediakan sebarang Kandungan yang anda tidak mempunyai hak untuk menyediakan di bawah mana-mana undang-undang atau di bawah hubungan berkontrak atau fidusiari (seperti maklumat dalaman, proprietari dan maklumat sulit yang diketahui atau didedahkan sebagai sebahagian daripada hubungan pekerjaan atau di bawah perjanjian tidak didedahkan);"
,
"Upload, post, email, transmit or otherwise make available any Content that infringes any patent, trademark, trade secret, copyright or other proprietary rights of any party;","Memuat naik, pos, e-mel, menghantar atau selainnya menjadikan sebarang Kandungan tersedia yang melanggar paten, tanda dagang, rahsia perdagangan, hak cipta atau hak proprietari mana-mana pihak;"
,
"Upload, post, email, transmit or otherwise make available any unsolicited or unauthorized advertising, promotional materials, ""junk mail,"" ""spam,"" ""chain letters,"" ""pyramid schemes,"" or any other form of solicitation, except in those areas (such as shopping) that are designated for such purpose;","Memuat naik, pos, e-mel, menghantar atau selainnya menyediakan sebarang pengiklanan yang tidak diminta atau tidak sah, bahan promosi, ""mel sampah"", ""spam"", ""surat berantai"", ""skim piramid"" atau sebarang format permohonan, kecuali di kawasan-kawasan (seperti membeli-belah) yang ditetapkan untuk tujuan berkenaan;"
,
"Upload, post, email, transmit or otherwise make available any material that contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any part of Futureed;","Memuat naik, pos, e-mel, menghantar atau selainnya menjadikan sebarang bahan tersedia yang mengandungi virus perisian atau sebarang kod komputer, fail atau program yang direka untuk mengganggu, memusnahkan atau menghadkan fungsi mana-mana bahagian Futureed;"
,
"Disrupt the normal flow of dialogue, cause a screen to ""scroll"" faster than other users of the Service are able to type, or otherwise act in a manner that negatively affects other users","Mengganggu aliran biasa dialog, menyebabkan skrin ""tatal"" lebih cepat daripada pengguna Perkhidmatan lain yang dapat menaip, atau bertindak dengan cara yang memberi kesan negatif pengguna lain"
,
"Interfere with or disrupt the service of Futureed Pte Ltd or another person\s","Bercampur tangan atau mengganggu perkhidmatan Futureed Pte Ltd atau orang lain"
,
"Intentionally or unintentionally violate any applicable law, statute, ordinance, regulation, rule or code, including, but not limited to, any regulations, rules, notices, instructions or directives of any regulatory body or authority, governmental agency or national or other securities exchange ;","Dengan sengaja atau tidak sengaja melanggar sebarang undang-undang, statut, ordinan, peraturan, peraturan atau kod, termasuk, tetapi tidak terhad kepada, mana-mana peraturan, peraturan, notis, arahan atau arahan mana-mana badan kawal selia atau pihak berkuasa, agensi kerajaan atau pertukaran sekuriti negara lain-lain;"
,
"Provide material support or resources (or to conceal or disguise the nature, location, source, or ownership of material support or resources) to any organization(s) designated by Singapore, your country or the United States government as a foreign terrorist organization;","Menyediakan sokongan bahan atau sumber (atau menyembunyikan atau menyamar sifat, lokasi, sumber, atau pemilikan bahan sokongan atau sumber) kepada mana-mana organisasi yang ditetapkan oleh Singapura, negara anda atau kerajaan Amerika Syarikat sebagai organisasi pengganas asing;"
,
"""stalk"" or otherwise harass another;","""Menghendap"" atau mengganggu yang lain;"
,
"Commit any fraudulent or unlawful act, whether in relation to any third party provider of products and services on the Service or otherwise and/or","Melakukan apa-apa perbuatan penipuan atau menyalahi undang-undang, sama ada berkaitan dengan mana-mana pembekal produk pihak ketiga dan perkhidmatan pada Perkhidmatan atau selainnya dan/atau"
,
"Collect or store personal data about other users in connection with the prohibited conduct and activities set forth in this agreement;","Mengumpul atau menyimpan data peribadi pengguna lain yang berkaitan dengan kelakuan dan aktiviti yang dilarang yang dinyatakan dalam perjanjian ini;"
,
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects the national security of Singapore","Mencipta, memaparkan, menghantar, atau mendapatkan bahan-bahan yang menimbulkan ancaman kepada atau menjejaskan keselamatan negara Singapura"
,
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects racial harmony in Singapore;","Mencipta, memaparkan, menghantar, atau mendapatkan bahan-bahan yang menimbulkan ancaman atau menjejaskan keharmonian kaum di Singapura;"
,
"Create, display, transmit, or obtain materials that violates intellectual property laws;","Mencipta, memaparkan, menghantar, atau mendapatkan bahan-bahan yang melanggar undang-undang harta intelek;"
,
"Use of machines, computers, scripts, ""bots"" or any automated system on Futureed Pte Ltd is strictly prohibited and may result in criminal liability. Futureed Pte Ltd may terminate and permanently disqualify any User who, in its sole discretion, determines as being in violation of these Terms of Service. All decisions by Futureed Pte Ltd are final;","Penggunaan mesin, komputer, skrip, ""bots"" atau mana-mana sistem automatik di Futureed Pte Ltd adalah dilarang sama sekali dan boleh menyebabkan jenayah liabiliti. Futureed Pte Ltd boleh menamatkan dan membatalkan penyertaan mana-mana Pengguna selama-lamanya pada bicara budi mutlaknya, ditentukan sebagai pelanggaran Terma Perkhidmatan. Semua Keputusan Futureed Pte Ltd adalah muktamad;"
,
"Futureed Pte Ltd may include hyperlinks to Websites operated by parties other than Futureed Pte Ltd including advertisers and other content providers. Those sites may collect data or solicit personal information from you. Futureed Pte Ltd does not control such Websites, and is not responsible for their content, privacy policies, or for the collection, use or disclosure of any information those sites may collect.","Futureed Pte Ltd mungkin merangkumi pautan ke laman web yang dikendalikan oleh pihak lain selain daripada Futureed Pte Ltd termasuk pengiklan dan penyedia kandungan lain. Laman-laman boleh mengumpul data atau mendapatkan maklumat peribadi daripada anda. Futureed Pte Ltd tidak mengawal laman web tersebut, dan tidak bertanggungjawab untuk kandungan, dasar privasi, atau bagi pengumpulan, penggunaan atau pendedahan apa-apa maklumat yang dikumpul oleh laman web tersebut."
,
"Futureed Pte Ltd and KCGA makes no guarantee of the accuracy, correctness, or completeness of any information on these web pages, surveys, databases, or results, and are not responsible for a) any errors or omissions arising from the use of such information; 2) any failures, delays, or interruptions in the delivery of any content or services contained on our servers; or 3) losses or damages arising from the use of the content or services provided by us.","Futureed Pte Ltd dan KCGA tidak membuat sebarang jaminan ketepatan, kebenaran, atau kelengkapan maklumat di halaman-halaman web, kaji selidik, pangkalan data, atau keputusan, dan tidak bertanggungjawab bagi a) apa-apa kesilapan atau ketinggalan yang timbul daripada penggunaan maklumat itu; 2) apa-apa kegagalan, kelewatan, atau gangguan dalam penghantaran sebarang kandungan atau perkhidmatan yang terkandung pada pelayan kami; atau 3) kerugian atau ganti rugi yang berbangkit daripada penggunaan kandungan atau perkhidmatan yang disediakan oleh kami."
,
"Intellectual Property Rights","Hak Harta Intelek"
,
"Unless otherwise indicated, KCGA or its licensors own and retain all proprietary rights in the website and all material and information posted thereon, including without limitation photographs, text, graphics, logos, icons, content, sound recording, tutorials, audio/visual clips and design (collectively, ""Content"").<br/>All of the materials contained on the Website are copyrighted, except where explicitly noted otherwise.<br/>The Futureed Pte Ltd site may be used only by you and your employees, or individuals under your control and/or supervision.<br/>These Terms and Conditions of Use do not grant to or create in the Customer, any user, or any other person any proprietary interest or intellectual property rights in or to the Futureed Pte Ltd site or any assessment tools, or information or other content comprising or available on the Futureed Pte Ltd site.<br/>You may not use, copy, reproduce, republish, upload, post, transmit, distribute, or modify the trademarks or the Content, without the express permission of Futureed Pte Ltd in each instance, unless such Content is posted by you.<br/>The use of Futureed Pte Ltd or KCGA copyrighted materials on any other website is strictly prohibited.<br/>Futureed Pte Ltd and KCGA will aggressively enforce its intellectual property rights to the fullest extent of the law, including the seeking of criminal prosecution.","Melainkan dinyatakan sebaliknya, KCGA atau pemberi lesennya memiliki dan mengekalkan semua hak milik dalam laman web dan semua bahan dan maklumat yang disiarkan di atasnya, termasuk tanpa gambar had, teks, grafik, logo, ikon, kandungan, rakaman bunyi, tutorial, audio / klip visual dan reka bentuk (secara kolektif, ""Kandungan""). <br/> Semua bahan-bahan yang terkandung dalam laman Web ini adalah hak cipta, kecuali jika dinyatakan dengan jelas sebaliknya. <br/> Futureed Pte Ltd tapak hanya boleh digunakan oleh anda dan pekerja anda, atau individu di bawah kawalan dan / atau pengawasan anda. <br/> Terma dan Syarat Penggunaan tidak memberikan atau dicipta dalam Pelanggan, mana-mana pengguna, atau mana-mana orang lain apa-apa kepentingan atau harta intelek hak proprietari dalam atau kepada Futureed Pte Ltd tapak atau apa-apa alat penilaian, atau maklumat atau kandungan lain yang terdiri daripada atau boleh didapati di laman Futureed Pte Ltd. <br/> Anda tidak boleh menggunakan, menyalin, mengeluarkan semula, menerbitkan, memuat naik, mengepos, menghantar, mengedar, atau mengubah suai tanda dagangan atau kandungan, tanpa kebenaran yang jelas daripada Futureed Pte Ltd dalam setiap keadaan, melainkan jika kandungan itu dihantar oleh anda. <br/> penggunaan Futureed Pte Ltd atau KCGA hak cipta bahan-bahan di laman web lain adalah dilarang sama sekali. <br/> Futureed Pte Ltd dan KCGA agresif akan menguatkuasakan hak harta intelek ke tahap sepenuhnya undang-undang itu, termasuk membuat dakwaan jenayah."
,
"Confidential Information","Maklumat Sulit"
,
"Confidential Information includes these terms, statements of work, license agreements, business and marketing plans and strategies, non-public business and technology information, trade secrets, Content included in assessments by you, any written materials marked as confidential and any other information, including visual and oral information, which reasonably should be understood to be confidential.<br/>Futureed Pte Ltd will use commercially reasonable technology, industry best practices to ensure the integrity and security of all Confidential Information with respect to theft, piracy, and unauthorized access.","Maklumat sulit termasuk syarat-syarat ini, penyata kerja, perjanjian lesen, rancangan dan strategi perniagaan dan pemasaran, maklumat perniagaan dan teknologi bukan awam, rahsia perdagangan, Kandungan yang dirangkumi dalam penilaian anda, mana-mana bahan bertulis ditanda sebagai sulit dan apa-apa maklumat lain, termasuk maklumat visual dan lisan, yang semunasabahnya perlu difahami sebagai sulit. <br/> Futureed Pte Ltd akan menggunakan teknologi yang berpatutan secara komersil, amalan terbaik industri untuk memastikan integriti dan keselamatan semua Maklumat Sulit berkenaan dengan kecurian, cetak rompak, dan akses yang tidak dibenarkan."
,
"Indemnity Obligation","Kewajiban Ganti Rugi"
"To the extent allowed by law, you agree to indemnify and hold harmless KCGA against any and all claims and expenses, including reasonable attorneys’ fees, arising from the use of KCGA products, services and this web site.<br/>This indemnification expressly includes your responsibility for any and all liability arising from the violation or infringement of copyrights, trademarks or other proprietary rights and from the use of any libelous or unlawful material contained submitted.","Setakat yang dibenarkan oleh undang-undang, anda bersetuju untuk menanggung rugi dan KCGA tidak bertanggungjawab terhadap sebarang dan semua tuntutan dan perbelanjaan, termasuk yuran peguam yang munasabah, yang timbul daripada penggunaan produk KCGA, perkhidmatan dan laman web ini. <br/> Ganti rugi ini secara nyata termasuk tanggungjawab anda untuk sebarang dan semua liabiliti yang timbul daripada pelanggaran atau pelanggaran hak cipta, tanda dagangan atau hak proprietari lain dan daripada penggunaan apa-apa bahan fitnah atau menyalahi undang-undang yang terkandung dikemukakan."
,
"Right To Terminate","Hak Untuk Menamatkan"
,
"KCGA reserves the right to suspend or terminate your use of the web site and the services at any time, without notice, if you are found in violation of our terms in this agreement.","KCGA berhak untuk menggantung atau menamatkan penggunaan anda di laman web dan perkhidmatan pada bila-bila masa, tanpa notis, jika anda didapati melanggar syarat kami di dalam perjanjian ini."
,
"DISCLAIMER","PENAFIAN"
,
"FUTUREED PTE LTD IS PROVIDED ""AS IS"" AND ""WITH ALL FAULTS,"" AND WITHOUT WARRANTY OF ANY KIND, AND USE OF FUTUREED PTE LTD IS AT CUSTOMER\S","FUTUREED PTE LTD DIBERIKAN ""SEBAGAIMANA ADANYA"" DAN ""DENGAN SEMUA KEROSAKAN,"" DAN TANPA SEBARANG JENIS JAMINAN DAN, DAN PENGGUNAAN FUTUREED PTE LTD ADALAH TANGGUNGJAWAB PELANGGAN"
,
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA SHALL NOT BE LIABLE TO THE CUSTOMER, ANY USER, OR ANY OTHER PERSON FOR ANY SPECIAL, INCIDENTAL, INDIRECT, COLLATERAL, CONSEQUENTIAL, EXEMPLARY, OR PUNITIVE DAMAGES, WHETHER IN ANY ACTION OR CONTRACT, EQUITY, STRICT LIABILITY, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE) OR OTHER THEORY OF LIABILITY (INCLUDING, BUT NOT LIMITED TO, BREACH OF WARRANTY) ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ANY ERROR, OMISSION OR INACCURACY CONTAINED IN, ANY DATA, INFORMATION, RECORD OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD OR FROM ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, EVEN IF KCGA HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR SUCH POSSIBILITY WAS REASONABLY FORESEEABLE INCLUDING (BUT NOT LIMITED TO) DAMAGES FOR LOSS OF USE, FOR DELAY, LOSS OF BUSINESS, LOSS OF REVENUE, PROFITS OR SAVINGS, BUSINESS INTERRUPTION LOSS, LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, LOSS OF PRIVACY, AND LOSS OF GOODWILL, AND LIABILITY TO THIRD PARTIES, ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATED TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR INABILITY TO USE ANY DATA OR OTHER INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF OR INABILITY TO USE FUTUREED PTE LTD , ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, OR ARISING FROM ANY FAILURE TO MEET ANY DUTY, INCLUDING (BUT NOT LIMITED TO) ANY DUTY OF GOOD FAITH OR TO EXERCISE COMMERCIALLY REASONABLE CARE, OR ARISING OUT OF ANY COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OR TRADE, OR OTHERWISE, EVEN IF KCGA OR FUTUREED PTE LTD WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR IF SUCH POSSIBILITY WAS REASONABLY FORESEEABLE.","SETAKAT MAKSIMUM YANG DIBENARKAN OLEH UNDANG-UNDANG, KCGA TIDAK AKAN BERTANGGUNGJAWAB KEPADA PELANGGAN, SEBARANG PENGGUNA, ATAU MANA-MANA ORANG LAIN UNTUK SEBARANG KHAS, SAMPINGAN, TIDAK LANGSUNG, CAGARAN, TURUTAN, TELADAN ATAU HUKUMAN, SAMA ADA DALAM APA-APA TINDAKAN ATAU KONTRAK, EKUITI, LIABILITI KETAT, TORT (TERMASUK, TETAPI TIDAK TERHAD KEPADA, KECUAIAN) ATAU TEORI LAIN LIABILITI (TERMASUK, TETAPI TIDAK TERHAD KEPADA, PELANGGARAN WARANTI) YANG TIMBUL DARIPADA ATAU APA-APA CARA SEKALIPUN BERKAITAN DENGAN ATAU BERKAITAN DENGAN PENGGUNAAN ATAU PRESTASI ATAU KEGAGALAN MENGGUNAKAN FUTUREED PTE LTD ATAU RALAT, PENINGGALAN ATAU KETIDAKTEPATAN TERKANDUNG DALAM MANA-MANA DATA, MAKLUMAT, REKOD ATAU HASIL YANG DIPEROLEH MELALUI ATAU AKIBAT PENGGUNAAN FUTUREED PTE LTD ATAU SEBARANG KEHILANGAN ATAU KEROSAKAN DATA ATAU MAKLUMAT ATAU REKOD LAIN, WALAUPUN KCGA TELAH DINASIHATKAN KEMUNGKINAN KEROSAKAN ATAU KEMUNGKINAN YANG WAS DIJANGKAKAN SECARA MUNASABAH TERMASUK (NAMUN TIDAK TERHAD KEPADA) GANTI KEHILANGAN PENGGUNAAN, KELEWATAN, KEHILANGAN PERNIAGAAN, KEHILANGAN PENDAPATAN, KEUNTUNGAN ATAU SIMPANAN, KEHILANGAN GANGGUAN PERNIAGAAN, KEHILANGAN ATAU KEROSAKAN DATA ATAU MAKLUMAT ATAU REKOD LAIN, KEHILANGAN PRIVASI DAN KEHILANGAN NAMA BAIK, DAN LIABILITI TERHADAP PIHAK KETIGA, YANG TIMBUL DARIPADA ATAU APA CARA SEKALIPUN BERKAITAN DENGAN ATAU BERKAITAN DENGAN PENGGUNAAN ATAU PRESTASI ATAU KEGAGALAN MENGGUNAKAN FUTUREED PTE LTD ATAU TIMBUL DARIPADA ATAU APA-APA CARA SEKALIPUN BERKAITAN DENGAN ATAU BERKAITAN DENGAN PENGGUNAAN ATAU KEGAGALAN MENGGUNAKAN SEBARANG DATA ATAU MAKLUMAT LAIN, REKOD, ATAU KEPUTUSAN DIPEROLEHI MELALUI ATAU AKIBAT PENGGUNAAN ATAU KEGAGALAN MENGGUNAKAN FUTUREED PTE LTD, SEBARANG KEHILANGAN ATAU KEROSAKAN DATA ATAU MAKLUMAT ATAU REKOD LAIN, ATAU TIMBUL DARIPADA SEBARANG KEGAGALAN UNTUK MEMENUHI SEBARANG DUTY, TERMASUK (NAMUN TIDAK TERHAD KEPADA) APA-APA KEWAJIPAN BAIK IMAN ATAU SENAMAN CARE BERPATUTAN SECARA KOMERSIL, ATAU TIMBUL DARIPADA SEBARANG KURSUS BERURUSAN, KURSUS PRESTASI, PENGGUNAAN ATAU PERDAGANGAN, ATAU SELAINNYA, MESKIPUN KCGA OR FUTUREED PTE LTD TELAH DINASIHATKAN KEMUNGKINAN KEROSAKAN ATAU JIKA KEMUNGKINAN YANG WAS DIJANGKAKAN SECARA MUNASABAH."
,
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA\S","SETAKAT MAKSIMUM YANG DIBENARKAN OLEH UNDANG-UNDANG YANG BERKENAAN, KCGA"
