,"ES"
"Please Login then proceed to My Profile to confirm your new email address.","Por favor ingrese sesión, después vaya a Mi Perfil para confirmar su nueva dirección de correo."
,
,
"Thank you for registering to Future Lesson!","¡Gracias por registrarse a Future Lesson!"
"A confirmation code has been sent to your email account.","Un código de confirmación ha sido enviado a su cuenta de correo."
"Please enter the confirmation code to verify your email address and to setup your new password.","Por favor introduzca el código de confirmación para verificar su email y para crear una contraseña nueva."
,
,
"A new confirmation code has been sent to your email account.","Un nuevo código de confirmación ha sido enviado a su cuenta de correo."
"You\re almost done! We just need you to confirm your email address. Please check your inbox and click on the link.","Ya casi has termniado. Sólo falta que nos confirmes tu dirección de correo. Por favor mira tu bandeja de entrada y haz click en el link."
,
,
"Register Account as","Registrar cuenta como"
"Sign up via Facebook","Registrarse con Facebook"
"Sign up with Google","Registrarse con Google"
,
,
"FUTUREED PTE LTD CLIENT TERMS AND CONDITIONS","FUTUREED PTE LTD Términos y Condiciones del Cliente"
,
"Thank you for choosing Futureed Pte Ltd for your assessment needs.<br/>We intend to provide provide you with a best-in-industry products that are of high quality, price competitive, psychometrically sound and in a technically reliable manner.<br/>To achieve that goal, we need to make certain legal declarations to ensure that our Service is being used in a reasonable, safe, and legal way.<br/>These Terms may be updated from time to time. Notice of modifications to these Terms will appear on this page.","Gracias por elegir Futureed PTE LTD para sus necesidades educativas. Intentamos suministrarle los mejores productos del mercado de una alta calidad, precios competitivos, se ajustan a los estandares psicométricos y son técnicamente confiables. Para alcanzar dicho objetivo, debemos hacer una serie de declaraciones legales que nos ayudarán a asegurarnos de que nuestro Servicio está siendo usando de forma razonable, segura y legalmente. Estos Términos podrán ser actualizados ocasionalmente. Avisos sobre dichas modificaciones, aparecerán en esta página."
,
"Introduction","Introducción"
,
"If you are using Futureed Pte Ltd on behalf of a business entity or other organization, you represent and warrant to KCGA that you have the authority to legally bind such business entity or other organization to these Terms and Conditions of Use.<br/>In such event, both you, acting on behalf of the business entity or other organization, and the business entity or other organization for whom you act, are jointly and severally bound by these Terms and Conditions of Use and references in these Terms and Conditions of Use to ""Customer,"" ""you"" or ""your"" refer to both you, acting on behalf of the business entity or other organization, and the business entity or other organization for whom you act, jointly and severally. It also implies that if you transfer the administration of the account of your organization to another person within the same organization, that person will also be taken legally to be representing and acting on behalf of the business entity of the registration and account.","Si estás usando Futureed PTE LTD en nombre de una empresa u otra organización, deberás garantizar a KCGA que tienes la autoridad legal para que dicha empresa u organización acepte estos términos y condiciones. En dicho caso, ambos usted, actuando en nombre de la entidad del negocio u otra organización, y la entidad del negocio u otra organización para quién usted actúe, están de forma conjunta y severamente ligados a estos Términos y Condiciones de Uso y serán referidos en estos Términos y Condiciones de Uso como ""Clientes"", ""Usted"" o ""Suyo"", serán referidos tanto usted,actuando en nombre de la entidad del negocio u otra organización,  como la entidad del negocio u otra organización para la que usted actúe conjunta y severamente. Esto implica también que si usted transfiere la administración de las cuentas de su organización a otra persona dentro de la misma organización, esa persona será tomada de forma legal como representante y actuante en nombre de la entidad del negocio u otra organización."
,
"Using Futureed","Uso de Futureed"
,
"Futureed Pte Ltd is made available by Kosh Consulting Group (Asia) Pte Ltd (KCGA) and provides an online assessmsessment tools to remotely test candidates on areas of psychometric abilities and personality.<br/>The two entities are used interchangeably for legal purposes.<br/>By registering to use Futureed, you are consenting to the terms and conditions as follows in this agreement.<br/>We also have a privacy policy which you can also find on our website.","Futureed Pte Ltd ha sido puesta en el mercado por Kosh Consulting Group (Asia) Pte Ltd (KCGA) y ofrece herramientas educativas online para testear candidatos potenciales en áreas relacionadas con sus habilidades psicométricas y su personalidad. Las dos entidades son usadas de forma intercanjeable por propósitos legales. Al registrarse para usar Futureed, acepta los términos y condiciones como se especifican en este acuerdo. También ponemos a su disposición una Política de Privacidad que encontrará en nuestra página web."
,
"Otherwise, if you fail to have the legal authority to bind such business entity or other organization or if you are not using the Futureed Pte Ltd site on behalf of a business entity or other organization, you agree that these Terms and Conditions of Use are binding to you in your individual capacity and references in these Terms and Conditions of Use to ""KCGA Customer,"" ""you"" or ""your"" refer to you in your individual capacity.","De lo contrario, si usted no posee la autoridad legal para involucrar dicha empresa u otro tipo de organización, o si no está usando la página de Futureed Pte Ltd en nombre de una empresa u otra entidad, usted acepta que estos Términos y Condiciones de Uso son vinculantes a usted en su capacidad de individuo privado. Las referencias en estos Términos y Condiciones de Uso a ""Usuario de KCGA"", ""UD"" o ""SUYO"" se refieren a su persona."
,
"Responsibility for Use","Responsabilidad de uso"
,
"As the account user or user of Futureed, you assume full responsibility for all use of Futureed Pte Ltd by yourself and others within your organization.<br/>You agree that each individual who accesses and uses Futureed Pte Ltd acts on behalf and for the account of the Customer, and the Customer is responsible for any wrongful acts, and omissions by a user, and a user’s breach or default of these Terms and Conditions of Use.","Como usuario de la cuenta o usuario de Futureed, usted asume total responsabilidad del uso que de Futureed Pte Ltd haga usted u otros en su organización. Está de acuerdo con que cada individuo que acceda y usa Futureed Pte Ltd, actúa en nombre y para la cuenta del Cliente, y el Cliente es por tanto responsable de cualquier mal uso, omisiones de cualquier usuario, y de la ruptura o violación que cualquier usuario haga de estos Términos y Condiciones de Uso."
,
"You represent, warrant, and covenant that:","Usted representa, garantiza y conviene que:"
,
"You will submit reasonable and appropriate documentation as requested by KCGA for us to make an assessment on your suitability and qualification to use the Futureed Pte Ltd products and services.","Usted suministrará documentación de forma razonable y apropiada a KCGA para que nosotros hagamos un análisis de su idoneidad y calificaciones para usar los productos y servicios de Futureed Pte Ltd."
,
"You will ensure that reasonable safeguards are taken for the protection of your password. You understand that we do not have access to your password and that you must create a new unique password in the event that you lose or forget your password.","Usted se asegurará de que las precauciones necesarias se han tomado para salvaguardar y proteger su contraseña. Usted entiende que no tenemos acceso a su contraseña y de que debe crear una contraseña nueva y única en el evento de perder u olvidar dicha contraseña."
,
"We will have the right to delete your Futureed Pte Ltd account and all associated records after a period of 18 months of inactivity on your Futureed Pte Ltd account.","Nosotros tendremos derecho de borrar su cuenta de Futureed Pte Ltd y todos los registros asociados a la misma después de un período de 18 meses de inactividad en su cuenta de Futureed Pte Ltd."
,
"You are solely responsible for backing up all data and records submitted to Futureed Pte Ltd and assume full responsibility for providing backup storage facility for records for any candidate records that are captured on Futureed, and you agree not to rely on Futureed Pte Ltd for storage of the results of candidate assessments.","Usted es el único responsable de hacer copias de seguridad de todos los datos y registros compartidos con Futureed Pte Ltd, y asume total responsabilidad de suministrar espacio para copias de seguridad para los registros de cualquier candidato cuyos registros se hayan hecho en Futureed Pte Ltd. Usted también está de acuerdo de que no dependerá de Futureed Pte Ltd para almacenar los resultados de los exámenes de los candidatos."
,
"No Unlawful Use","Usos no legales"
,
"As a responsible user, you agree that you will not use the Futureed Pte Ltd site, or any product, or service provided by or made available on or from the Futureed Pte Ltd site for any unlawful purpose.","Como usuario responsable, usted está de acuerdo con no usar el sitio de Futureed Pte Ltd, o cualquiera de los productos o servicios suministrados por o puestos a su disposición por o en el sitio de Futureed Pte Ltd para usos de carácter ilegal."
,
"Specifically, you agree to not use the Service to:","Especificamente, usted acepta que no usará el Servicio para:"
,
"Use any device, software, or routine to interfere or attempt to interfere with the proper working of the Futureed Pte Ltd site or any activity being conducted on the Futureed Pte Ltd site.","Usar cualquier aparato, software, o rutina que interfiera o intente interferir con el funcionamiento normal del sitio de Futureed Pte Ltd o con cualquier actividad que tenga lugar en la página de Futureed Pte Ltd."
,
"Upload, post, email, transmit or otherwise make available any Content that is unlawful, harmful, threatening, abusive, harassing, tortious, defamatory, vulgar, obscene, pornographic, libelous, invasive of another\s","Cargar, postear, mandar por email, transmitir o de cualquier forma poner a disposición de otros cualquier contenido que sea ilegal, dañino, amenazante, abusivo, acosador, torturador, difamatorio, vulgar, obsceno, pornográfico, o invasivo de cualquier otra persona"
,
"Harm minors in any way;","Herir a menores de cualquier forma;"
,
"Impersonate any person or entity, including, but not limited to, a KCGA official, or host, or falsely state or otherwise misrepresent your affiliation with a person or entity;","Suplantar o hacerse pasar por cualquier persona, entidad, incluyendo pero sin limitarse a KCGA oficial, o falsamente afirmar o de cualquier forma tergiversar su afiliación con una persona o entidad;"
,
"Forge headers or otherwise manipulate identifiers in order to disguise the origin of any Content transmitted through Futureed;","Falsificar encabezados, o de cualquier forma manipular los identificadores para así ocultar el origen de cualquier Contenido transmitido en Futureed Pte Ltd"
,
"Upload, post, email, transmit or otherwise make available any Content that you do not have a right to make available under any law or under contractual or fiduciary relationships (such as inside information, proprietary and confidential information learned or disclosed as part of employment relationships or under nondisclosure agreements);","Cargar, publicar, mandar por email, transmitir o de cualquier forma poner a disposición cualquier contenido que usted no tenga derecho a suministrar bajo cualquier ley, o bajo una relación contractual o fiducidaria (como infomación interna, patentada e información confidencial aprendida o revelada como parte de una relación de empleo o bajo acuerdo de confidencialidad);"
,
"Upload, post, email, transmit or otherwise make available any Content that infringes any patent, trademark, trade secret, copyright or other proprietary rights of any party;","Cargar, publicar, mandar por email, transmitir o de cualquier forma poner a disposición cualquier contenido que infrinja una patente, marca registrada, secreto registrado, copyright o cualquier derecho de propiedad de cualquier entidad;"
,
"Upload, post, email, transmit or otherwise make available any unsolicited or unauthorized advertising, promotional materials, ""junk mail,"" ""spam,"" ""chain letters,"" ""pyramid schemes,"" or any other form of solicitation, except in those areas (such as shopping) that are designated for such purpose;","Cargar, publicar, mandar por email, transmitir o de cualquier forma poner a disposición cualquier publicidad solicitada o sin solicitar, materiales promocionales, spam, cartas en cadena, correo basura, sistemas piramidales, o cualquier otra forma de solicitación, excepto en aquellas áreas (como en la sección de compras) que estén orientadas a dicho propósito;"
,
"Upload, post, email, transmit or otherwise make available any material that contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any part of Futureed;","Cargar, publicar, mandar por email, transmitir o de cualquier forma poner a disposición cualquier material que contenga software maligno o con virus, o cualquier otro código, archivos o programas diseñados para interrumpir, destruir o limitar la funcionalidad de cualquier parte de Futureed;"
,
"Disrupt the normal flow of dialogue, cause a screen to ""scroll"" faster than other users of the Service are able to type, or otherwise act in a manner that negatively affects other users","Interferir con el flujo normal de diálogo, hacer que la pantalla se mueva más rapido que en la que otros usuarios del servicio escriben, o de cualquier otra forma que perjudique a otros."
,
"Interfere with or disrupt the service of Futureed Pte Ltd or another person\s","Interferir con o interrumpir el servicio de Futureed Pte Ltd o a otra persona/s."
,
"Intentionally or unintentionally violate any applicable law, statute, ordinance, regulation, rule or code, including, but not limited to, any regulations, rules, notices, instructions or directives of any regulatory body or authority, governmental agency or national or other securities exchange ;","Intencional o no intencionalmente violar cualquier ley aplicable, estatuto, ordenanza, regulación, regla o código, incluyendo sin limitar, cualquier regulación, reglas, avisos, instrucciones o directivas de cualquier ente regulador o autoridad, agencia gubernamental o nacional o de seguridad"
,
"Provide material support or resources (or to conceal or disguise the nature, location, source, or ownership of material support or resources) to any organization(s) designated by Singapore, your country or the United States government as a foreign terrorist organization;","Suministrar material de soporte o recursos (u ocultar o manipular la naturaleza, ubicación fuente o propiedad de cualquier material de soporte o recurso) a cualquier empresa (s) calificada como organización internacional terrorista por Singapur, su país o el Gobierno de Estados Unidos;"
,
"""stalk"" or otherwise harass another;","acosar o molestra a otros;"
,
"Commit any fraudulent or unlawful act, whether in relation to any third party provider of products and services on the Service or otherwise and/or","Cometer cualquier acto fraudulento o contrario a la ley, ya sea en relación con un tercero proveedor de productos y servicos en el Servicio o de cualquier otra forma y/o"
,
"Collect or store personal data about other users in connection with the prohibited conduct and activities set forth in this agreement;","Recoger o alamacenar datos personales sobre otros usuarios en conexión con las conductas y actividades prohibidas en este acuerdo;"
,
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects the national security of Singapore","Crear, mostrar, transmitir u obtener materiales que supongan un peligro o afecten negativamente la seguridad nacional de Singapur;"
,
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects racial harmony in Singapore;","Crear, mostrar, transmitir u obtener materiales que supongan un peligro o afecten negativamente la armonía racial de Singapur;"
,
"Create, display, transmit, or obtain materials that violates intellectual property laws;","Crear, mostrar, transmitir u obtener materiales que violen las leyes de propiedad intelectual;"
,
"Use of machines, computers, scripts, ""bots"" or any automated system on Futureed Pte Ltd is strictly prohibited and may result in criminal liability. Futureed Pte Ltd may terminate and permanently disqualify any User who, in its sole discretion, determines as being in violation of these Terms of Service. All decisions by Futureed Pte Ltd are final;","El uso de máquinas, computadoras, guiones, robots o cualquier sistema automatizado está prohibido estrictamente en Futureed Pte Ltd y puede resultar en responsabilidad criminal. Futureed Pte Ltd puede cancelar y descualificar permanentemente a cualquier usuario que, a su propia discrección, haya violado estos Términos de Servicio. Todas las decisiones de Futureed Pte Ltd son finales;"
,
"Futureed Pte Ltd may include hyperlinks to Websites operated by parties other than Futureed Pte Ltd including advertisers and other content providers. Those sites may collect data or solicit personal information from you. Futureed Pte Ltd does not control such Websites, and is not responsible for their content, privacy policies, or for the collection, use or disclosure of any information those sites may collect.","Futureed Pte Ltd puede incluir hyperlinks a páginas web operadas por otros entes diferentes a Futureed Pte Ltd, incluyendo anunciantes y otros proveedores de contenido. Estos sitios podrán almacenar información o solicitar información personal de usted. Futureed Pte Ltd no controla dichas websites, y no es responsable por su contenido, políticas de privacidad o por la recogida, uso y suministro posterior de cualquier información que dichas webs puedan recolectar."
,
"Futureed Pte Ltd and KCGA makes no guarantee of the accuracy, correctness, or completeness of any information on these web pages, surveys, databases, or results, and are not responsible for a) any errors or omissions arising from the use of such information; 2) any failures, delays, or interruptions in the delivery of any content or services contained on our servers; or 3) losses or damages arising from the use of the content or services provided by us.","Futureed Pte Ltd y KCGA no garantizan la exactitud, veracidad o integridad de cualquier información en esas páginas, tests, bases de datos o resultados, y no son responsables por a) ningún error u omisión que se produzca por el uso de dicha informacióm; b) cualquier error, retraso o interrupción del suministro de cualquier contenido o servicios contenidos en nuestros servidores; o c) pérdidas o daños que se produzcan por el uso de contenido o servicios suministrados por nosotros."
,
"Intellectual Property Rights","Derechos de Propiedad intelectual"
,
"Unless otherwise indicated, KCGA or its licensors own and retain all proprietary rights in the website and all material and information posted thereon, including without limitation photographs, text, graphics, logos, icons, content, sound recording, tutorials, audio/visual clips and design (collectively, ""Content"").<br/>All of the materials contained on the Website are copyrighted, except where explicitly noted otherwise.<br/>The Futureed Pte Ltd site may be used only by you and your employees, or individuals under your control and/or supervision.<br/>These Terms and Conditions of Use do not grant to or create in the Customer, any user, or any other person any proprietary interest or intellectual property rights in or to the Futureed Pte Ltd site or any assessment tools, or information or other content comprising or available on the Futureed Pte Ltd site.<br/>You may not use, copy, reproduce, republish, upload, post, transmit, distribute, or modify the trademarks or the Content, without the express permission of Futureed Pte Ltd in each instance, unless such Content is posted by you.<br/>The use of Futureed Pte Ltd or KCGA copyrighted materials on any other website is strictly prohibited.<br/>Futureed Pte Ltd and KCGA will aggressively enforce its intellectual property rights to the fullest extent of the law, including the seeking of criminal prosecution."," A no ser que sea indicado lo contrario, KCGA o sus licenciados poseen y retienen todos los derechos de propiedad de la página web y los materiales e información en ella publicada, incluyendo sin limitar fotos, textos, gráficos, logos, iconos, contenido, sonidos grabados, tutoriales, clips de audio/visuales y diseño (conocido colectivamente como ""Contenido"") Todos los materiales contenidos en la Website están sujetos a copyright, excepto en los casos en los que explicitamente se avise de lo contrario. La página de Futureed Pte Ltd sólo puede ser usada por usted y sus empleados, o individuos bajo su control y/o supervisión. Estos Términos y Condiciones de Uso no garantizan o crean en el cliente, usuario o cualquier otra persona ningún interés de propietario o derechos de propiedad intectuales en o a la página de Futureed Pte Ltd o en cualquier otra herramienta, u información u otro contenido incluido o disponible en Futureed Pte Ltd. Usted no puede usar, copiar, reproducir, republicar, cargar, transmitir, distribuir, o modificar las marcas registradas o el contenido sin la autorización expresa de Futureed Pte Ltd en cada caso, a no ser que dicho contenido sea publicado por usted. El uso de los materiales protegidos por copyright de Futureed Pte Ltd o KCGA o de cualquier otra website están totalmente prohibidos. Futureed Pte Ltd y KCGA protegerán de forma agresiva sus derechos de propiedad intelectual con todo el peso de la ley, incluyendo la persecución de los infractores por la vía penal."
,
"Confidential Information","Información confidencial"
,
"Confidential Information includes these terms, statements of work, license agreements, business and marketing plans and strategies, non-public business and technology information, trade secrets, Content included in assessments by you, any written materials marked as confidential and any other information, including visual and oral information, which reasonably should be understood to be confidential.<br/>Futureed Pte Ltd will use commercially reasonable technology, industry best practices to ensure the integrity and security of all Confidential Information with respect to theft, piracy, and unauthorized access.","El término ""Información Confidencial"" incluye estos términos, descripción de tareas, acuerdos de licencias, planes y estrategias de marketing y de negocio, negocios de carácter privado e información tecnológica, secretos empresariales, contenido incluido en los tests por usted, cualquier material escrito marcado como confidencial y cualquier otra información, incluyendo materiales visuales e información oral, que de forma razonable pueda ser entendida como confidencial. Futureed Pte Ltd usará tecnología razonablemente comercial, prácticas adecuadas de la industria para asegurarse la integridad y seguridad de toda la información confidencial en relación a posibles robos, piratería y acceso desautorizado."
,
"Indemnity Obligation","Obligación de indemnizar"
,
"To the extent allowed by law, you agree to indemnify and hold harmless KCGA against any and all claims and expenses, including reasonable attorneys’ fees, arising from the use of KCGA products, services and this web site.<br/>This indemnification expressly includes your responsibility for any and all liability arising from the violation or infringement of copyrights, trademarks or other proprietary rights and from the use of any libelous or unlawful material contained submitted.","Dentro de los límites establecidos por la ley, usted acepta indeminizar y no culpar a KCGA de cualquier y todas las acusaciones y expensas, incluyendo lo honorarios razonables de un abogado, que se produzcan por el uso de los productos, servicios y website de KCGA. Esta indeminización explicitamente incluye su responsabilidad por cualquier y toda responsabilidad que se produzca por la violación de los copyrights, marcas protegidas u otros derechos de propietarios y del uso de cualquier material ilegal o perjudicial contenido o enviado."
,
"Right To Terminate","Derecho a cancelar"
,
"KCGA reserves the right to suspend or terminate your use of the web site and the services at any time, without notice, if you are found in violation of our terms in this agreement.","KCGA se reserva el derecho de suspender o cancelar el uso de la website y los servicios en cualquier momento, sin preaviso, si usted es encontrado llevando a cabo una violación de los términos en este acuerdo."
,
"DISCLAIMER","Descargo de responsabilidad"
,
"FUTUREED PTE LTD IS PROVIDED ""AS IS"" AND ""WITH ALL FAULTS,"" AND WITHOUT WARRANTY OF ANY KIND, AND USE OF FUTUREED PTE LTD IS AT CUSTOMER\S","Futureed Pte LTD se suministra ""tal y como está"" y con ""todos sus errores"" y sin garantía de ningún tipo, el uso de Futureed Pte Ltd se hará a riesgo de los clientes."
,
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA SHALL NOT BE LIABLE TO THE CUSTOMER, ANY USER, OR ANY OTHER PERSON FOR ANY SPECIAL, INCIDENTAL, INDIRECT, COLLATERAL, CONSEQUENTIAL, EXEMPLARY, OR PUNITIVE DAMAGES, WHETHER IN ANY ACTION OR CONTRACT, EQUITY, STRICT LIABILITY, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE) OR OTHER THEORY OF LIABILITY (INCLUDING, BUT NOT LIMITED TO, BREACH OF WARRANTY) ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ANY ERROR, OMISSION OR INACCURACY CONTAINED IN, ANY DATA, INFORMATION, RECORD OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD OR FROM ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, EVEN IF KCGA HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR SUCH POSSIBILITY WAS REASONABLY FORESEEABLE INCLUDING (BUT NOT LIMITED TO) DAMAGES FOR LOSS OF USE, FOR DELAY, LOSS OF BUSINESS, LOSS OF REVENUE, PROFITS OR SAVINGS, BUSINESS INTERRUPTION LOSS, LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, LOSS OF PRIVACY, AND LOSS OF GOODWILL, AND LIABILITY TO THIRD PARTIES, ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATED TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR INABILITY TO USE ANY DATA OR OTHER INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF OR INABILITY TO USE FUTUREED PTE LTD , ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, OR ARISING FROM ANY FAILURE TO MEET ANY DUTY, INCLUDING (BUT NOT LIMITED TO) ANY DUTY OF GOOD FAITH OR TO EXERCISE COMMERCIALLY REASONABLE CARE, OR ARISING OUT OF ANY COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OR TRADE, OR OTHERWISE, EVEN IF KCGA OR FUTUREED PTE LTD WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR IF SUCH POSSIBILITY WAS REASONABLY FORESEEABLE.","Dentro de los límites máximos establecidos por la ley aplicable, KCGA no tendrá responsabilidad ante el cliente, cualquier usuario o cualquier otra persona por cualquier daño especial, accidental, colateral, como consecuencia, ejemplar o punitivo, si en cualquier acción, contrato, responsabilidad estricta, agravio (incluyendo pero no limitado por negligencia) o cualquier teoría de responsabilidad (incluyendo pero no limitado a ruptura de garantía) que se resulte de o esté de cualquier forma conectado con o relacionado al uso o desempeño de o a la inhabilidad de usar Futureed Pte Ltd o cualquier error, omision o inexactitud contenida en cualquier dato, información, registro o resultados obtenidos por o como resultado del uso de Futureed Pte Ltd o de cualquier pérdida o corrupción de datos, información o registros, o resultados obtenidos debido o como resultado del uso de Futureed Pte Ltd o de cualquier pérdida o corrupción de datos o cualquier información o registro, incluso si KCGA ha sido avisado de la posibilidad de que estos daños o de la posibilidad de que dichos daños o que dicha posibilidad sea razonablemente previsible incluyendo (pero no limitado a) daños por pérdida de uso, retraso, pérdida de negocios, pérdida de dinero, benificios o ahorros, pérdidas relacionadas con la interrupción de negocio, pérdida o corrupción de datos u otra información o registro, pérdida de privacidad, y pérdida de buena fe, y responsabilidad de terceros, que surja de o esté de cualquier modo conectado o relacionado al uso y rendimiento de o inhabilidad de usar Futureed Pte Ltd o producida por o de cualquier forma conectado con o relacionado al uso o inhabilidad de usar cualquier información, u otros datos, registros, o resultados obtenidos a través o como resultado del uso o inhabilidad de usar Futureed Pte Ltd, cualquier pérdida o corrupción de datos u otra información o registro, o como producto de la imposibilidad de no cumplir cualquier obligación, incluyendo pero no limitado a) cualquier obligación de buena fe o al ejercicio comercialmente razonable del cuidado, o producido por cualquier forma de trato, como consecuencia de la gestión, uso o intercambio o cualquier otro, incluso si KCGA o Futureed Pte Ltd fuera avisado de la posibilidad de que dichos daños o si dicha posibilidad fuera razonablemente predecible."
,
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA’S TOTAL LIABILITY AND OBLIGATION ARISING OUT OF OR IN ANY MANNER CONNECTED WITH OR RELATING TO THE CUSTOMER’S OR ANY USER’S USE OR INABILITY TO USE FUTUREED PTE LTD, OR THE RESULTS OBTAINED FROM THE USE OF FUTUREED PTE LTD IS LIMITED TO DIRECT DAMAGES WHICH SHALL NOT IN ANY EVENT EXCEED ONE HUNDRED SINGAPORE DOLLARS (S$100.00) IN THE AGGREGATE. TO THE MAXIMUM EXTEND PERMITTED BY APPLICABLE LAW, THIS LIMITATION APPLIES REGARDLESS AS TO WHETHER THE LIABILITY IS BASED ON BREACH OF CONTRACT, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE), STRICT LIABILITY, BREACH OF WARRANTY, OR ANY OTHER LEGAL THEORY.","Dentro de los máximos límites establecidos por la ley aplicable, la responsabilidad total de KCGA y las obligaciones que se produzcan o que de cualquier forma estém conectadas con o relacionadas al cliente o a el uso que cualquier usuario o la inhabilidad de usar Futureed Pte Ltd, o de los resultados obtenidos del uso de Futureed Pte Ltd, está limitado a los daños directos que en ningún caso podrán exceder los cien dólares de Singapur (S$100.00) en total. Dentro de los máximos límites establecidos por la ley aplicable, esta limitación se aplica sin importar si la responsabilidad se basa en una ruptura de contrato, mal uso (incluyendo pero no limitado a negligencia), responsabilidad estricta, ruptura de la garantía o cualquier teoría legal."
,
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, YOU WILL NOT BRING, REQUEST, JOIN, OR PARTICIPATE IN A CLASS ACTION OR CLASS ARBITRATION PROCEEDING AS TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION YOU MAY HAVE AGAINST KCGA, FUTUREED PTE LTD ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH THE FUTUREED PTE LTD SITE, YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE, AND YOU WAIVE AND RELINQUISH ANY RIGHT YOU MAY NOW OR IN THE FUTURE HAVE TO BRING, REQUEST, JOIN OR PARTICIPATE IN ANY LAWSUIT OR ARBITRATION OR OTHER PROCEEDING ON A CLASS ACTION OR CONSOLIDATED BASIS OR TO PARTICIPATE AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS PERTAINING TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST, OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE. THIS PROVISION DOES NOT CONSTITUTE A WAIVER OF ANY OF YOUR RIGHTS AND REMEDIES TO PURSUE A CLAIM INDIVIDUALLY, AND NOT ON A CLASS ACTION, CLASS ARBITRATION OR CONSOLIDATED BASIS OR AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS.","Dentro de los máximos límites establecidos por la ley aplicable, usted no traerá, solicitará, se unirá o participará en ninguna actividad de clase o procedimiento de gestión de clase así cómo de ninguna demanda, caso o causa de acción que pueda tener contra KCGA, Futureed Pte Ltd producido por, relacionado con o de cualquier forma conectado al sitio de Futureed Pte Ltd, su uso del sitio de Futureed Pte Ltd o cualquier test u otro producto o servicio obtenido a través del sitio de Futureed Pte Ltd, y usted exhime y retoma cualquier derecho que pueda tener ahora o en el futuro, ha de traer, requerir, unirse o participar en cualquier denuncia o arbitaje o cualquier otro procedimiento en una acción de clase o consolidación o participar como representante o miembro de cualquier clase de demandantes pertenecientes a una demanda, caso o causa de acción producida por, relacionada a o en cualquier forma conectada con el uso de la página de Futureed Pte Ltd o de cualquier test, u otro producto o servicio obtenido a través del sitio de Futureed Pte Ltd. Esta provisión no constituye una disminución de ninguno de sus derechos y recursos para organizar una demanda individualmente, y no por medio de una acción de clase, un proceso de arbitraje de clase o de forma consolidad o como representante o miembro de cualquier clase de denunciantes."
,
"Severability","Severidad"
,
"In the event that any one or more of these provisions should be held invalid, illegal or unenforceable, such provisions will be modified, if possible, to the minimum extent necessary to make them valid and enforceable, or if they cannot be so modified, then severed, and the remaining provisions contained herein will not in any way be affected or impaired","En el caso de que una o más de estas provisiones sean declaradas inválidas, ilegales o no ejecutables, esas provisiones serán modificadas, si es posible al límite mínimo necesario para hacerlos válidas y aplicables, o si no pudieran ser modificadas de este modo, y hubieran de ser canceladas, entonces las otras provisiones aquí incluidas no serán afectadas ni modificadas de ninguna forma."
,
"Jurisdiction and Governing Law","Jurisdicción y Leye Aplicable"
,
"The validity, construction, enforcement and interpretation of these Terms and Conditions of Use is to be governed the laws of Singapore.","La validez, construcción, aplicación e interpretación de estos Términos y Condiciones de Uso está gobernado por las leyes de Singapur"
,
"Waiver","Excención"
,
