"DO NOT EDIT","Vietnamese"
"Tip List","Danh sách mẹo"
"Admin Dashboard","Bảng điều khiển quản trị viên"
"Invoice","Hóa đơn"
"Manage Admin","quản lý quản trị viên"
"Manage Client","quản lý khách hàng"
"Manage Student","quản lý học viên"
"Master Settings","Cài đặt tổng thể"
"Module Management","Quản lý học phần"
"Price Management","Quản lý giá"
"Price & Discounts","Giá & chiết khấu"
"User Management","Quản lý người dùng"
"Client Dashboard","Bảng điều khiển của khách hàng"
"Confirm Account as","Xác nhận tài khoản như"
"Your email account has been successfully confirmed.","Tài khoản email của bạn đã được xác nhận thành công"
"You will be receiving an email shortly by our Admin if your registration has been approved or not.","Bạn sẽ nhận được ngay một email từ quản trị viên của chúng tôi dù việc đăng ký của bạn có được duyệt hay không."
"If you have not yet receive the email, please check your inbox or your spam folder.","Nếu bạn vẫn chưa nhận được email, vui lòng kiểm tra hộp thư đến hoặc thư mục thư rác của bạn"
"Bulletin Board","Bản tin"
"Not a Parent / Teacher / School?","Không phải là phụ huynh / giáo viên / trường học?"
"Enter Reset Code","Nhập mã đặt lại"
"Reset Code Resent","Mã đặt lại đã được gửi lại"
"Reset Code","Mã đặt lại"
"Resend Code","Gửi lại mã"
"Proceed","Tiến hành"
"Retrieve Password","Phục hồi mật khẩu"
"Reset Code Sent","Mã đặt lại được gửi"
"Please check your inbox or your spam folder for the email.<br />The email contains a reset code that you need to input below.","Vui lòng kiểm tra email trong hộp thư đến hoặc thư mục thư rác của bạn. <br /> Email có chứa một mã đặt lại mà bạn cần phải nhập vào bên dưới"
"Teacher Registration","Đăng ký giáo viên"
"Register New Account","Đăng ký tài khoản mới"
"Please enter the confirmation code to confirm your email account.","Vui lòng nhập mã xác nhận để xác nhận tài khoản email của bạn"
"Please Login then proceed to My Profile to confirm your new email address.","Vui lòng đăng nhập sau đó đến mục Hồ sơ của tôi để xác nhận địa chỉ email mới của bạn"
"Thank you for registering to Future Lesson!","Cảm ơn bạn đã đăng ký Future Lesson!"
"A confirmation code has been sent to your email account.","Một mã xác nhận đã được gửi đến tài khoản email của bạn"
"Please enter the confirmation code to verify your email address and to setup your new password.","Vui lòng nhập mã xác nhận để xác minh địa chỉ email của bạn và thiết lập mật khẩu mới"
"A new confirmation code has been sent to your email account.","Một mã xác nhận mới đã được gửi vào tài khoản email của bạn"
"You\re","bạn"
"Register Account as","Đăng ký tài khoản như"
"Sign up via Facebook","Đăng ký qua Facebook"
"Sign up with Google","Đăng ký với Google"
"FUTUREED PTE LTD CLIENT TERMS AND CONDITIONS","FUTUREED PTE LTD ĐIỀU KHOẢN VÀ ĐIỀU KIỆN DÀNH CHO KHÁCH HÀNG"
"Thank you for choosing Futureed Pte Ltd for your assessment needs.<br/>We intend to provide provide you with a best-in-industry products that are of high quality, price competitive, psychometrically sound and in a technically reliable manner.<br/>To achieve that goal, we need to make certain legal declarations to ensure that our Service is being used in a reasonable, safe, and legal way.<br/>These Terms may be updated from time to time. Notice of modifications to these Terms will appear on this page.","Cảm ơn bạn đã lựa chọn Futureed Pte Ltd cho nhu cầu đánh giá của bạn.<br/> Chúng tôi dự định sẽ cung cấp cho bạn một sản phẩm tốt nhất trong ngành công nghiệp có chất lượng cao, giá cả cạnh tranh và đáng tin cậy về mặt kỹ thuật. <Br /> Để đạt được mục tiêu đó, chúng ta cần phải làm một số giấy tờ pháp lý để đảm bảo rằng dịch vụ của chúng tôi đang được sử dụng một cách hợp lý, an toàn và hợp pháp.<br/> Những điều khoản có thể được cập nhật theo thời gian. Thông báo về việc thay đổi những điều khoản sẽ hiển thị trên trang này."
"Introduction","Lời giới thiệu"
"If you are using Futureed Pte Ltd on behalf of a business entity or other organization, you represent and warrant to KCGA that you have the authority to legally bind such business entity or other organization to these Terms and Conditions of Use.<br/>In such event, both you, acting on behalf of the business entity or other organization, and the business entity or other organization for whom you act, are jointly and severally bound by these Terms and Conditions of Use and references in these Terms and Conditions of Use to ""Customer,"" ""you"" or ""your"" refer to both you, acting on behalf of the business entity or other organization, and the business entity or other organization for whom you act, jointly and severally. It also implies that if you transfer the administration of the account of your organization to another person within the same organization, that person will also be taken legally to be representing and acting on behalf of the business entity of the registration and account.","Nếu bạn đang sử dụng Futureed Pte Ltd thay mặt cho một thực thể kinh doanh hoặc tổ chức nào khác, bạn phải đại diện và bảo đảm với KCGA rằng bạn có thẩm quyền ràng buộc về mặt pháp lý với thực thể kinh doanh hoặc tổ chức đó với các Điều khoản và Điều kiện sử dụng.<br/> Trong trường hợp này, thay mặt cho thực thể kinh doanh hoặc tổ chức khác và thực thể kinh doanh hoặc tổ chức khác mà bạn đại diện, cả hai cùng nhau và từng bên bị ràng buộc bởi các Điều khoản và Điều kiện sử dụng và tài liệu tham khảo trong các Điều khoản và Điều kiện sử dụng về ""khách hàng"", ""bạn"" hoặc ""của bạn"" có liên quan đến cả bạn và cơ sở tổ chức mà bạn đại diện. Việc này cũng có nghĩa nếu bạn chuyển việc quản lý tài khoản của tổ chức của bạn đến một cá nhân khác trong cùng một tổ chức, người đó cũng sẽ chịu ràng buộc pháp lý để đại diện và thay mặt cho tổ chức kinh doanh trong việc đăng ký và thanh toán."
"Using Futureed","Sử dụng Futureed,..."
"Futureed Pte Ltd is made available by Kosh Consulting Group (Asia) Pte Ltd (KCGA) and provides an online assessmsessment tools to remotely test candidates on areas of psychometric abilities and personality.<br/>The two entities are used interchangeably for legal purposes.<br/>By registering to use Futureed, you are consenting to the terms and conditions as follows in this agreement.<br/>We also have a privacy policy which you can also find on our website.","Futureed Pte Ltd được vận hành bởi Kosh Consulting Group (Asia) Pte Ltd (KCGA) và cung cấp những công cụ đánh giá trực tuyến nhằm kiểm tra các thí sinh từ xa trong phạm vi khả năng tâm lý và tính cách.<br/> Cả 2 thực thể được sử dụng thay thế cho nhau trong các mục đích hợp pháp.<br/> Bằng cách đăng ký sủ dụng Futureed, bạn đã đồng ý với các điều khoản và điều kiện như bên dưới trong bạn thỏa thuận này.<br/> Đồng thời chúng tôi cũng có chính sách bảo mật mà bạn có thể tìm thấy trên trang chủ của chúng tôi."
"Otherwise, if you fail to have the legal authority to bind such business entity or other organization or if you are not using the Futureed Pte Ltd site on behalf of a business entity or other organization, you agree that these Terms and Conditions of Use are binding to you in your individual capacity and references in these Terms and Conditions of Use to ""KCGA Customer,"" ""you"" or ""your"" refer to you in your individual capacity.","Trái lại, nếu bạn không có thẩm quyền pháp lý để ràng buộc thực thể kinh doanh hay tổ chức khác hoặc nếu bạn không sử dụng trang chủ Futureed Pte Ltd đại diện cho một thực thể kinh doanh và tổ chức khác, bạn phải đồng ý rằng các điều khoản và điều kiện sử dụng có ràng buộc với bạn với tư cách cá nhân và các tài liệu tham khảo trong các điều khoản và điều kiện sử dụng về ""Khách hàng của KCGA"", ""bạn"" hay ""của bạn"" có liên quan đến bạn với tư cách cá nhân của bạn."
"Responsibility for Use","Trách nhiệm sử dụng"
"As the account user or user of Futureed, you assume full responsibility for all use of Futureed Pte Ltd by yourself and others within your organization.<br/>You agree that each individual who accesses and uses Futureed Pte Ltd acts on behalf and for the account of the Customer, and the Customer is responsible for any wrongful acts, and omissions by a user, and a user’s breach or default of these Terms and Conditions of Use.","Là người dùng tài khoản hay người dùng của Futureed, bạn phải tự chịu toàn bộ trách nhiệm cho tất cả các việc sử dụng trên Futureed Pte Ltd và với những người khác trong tổ chức của bạn.<br/> Bạn phải đồng ý rằng mỗi cá nhân truy cập và sử dụng Futureed Pte Ltd hoạt động trên danh nghĩa và cho tài khoản của khách hàng, khách hàng có trách nhiệm trong bất kỳ hành vi sai trái và thiếu sót nào và những vi phạm của người dùng hay các điều khoản và điều kiện sử dụng mặt định này."
"You represent, warrant, and covenant that:","Bạn đại diện, bảo đảm, và giao ước rằng:"
,
"You will submit reasonable and appropriate documentation as requested by KCGA for us to make an assessment on your suitability and qualification to use the Futureed Pte Ltd products and services.","Bạn sẽ phải nộp tài liệu hợp lý và phù hợp theo yêu cầu của KCGA để chúng tôi đưa ra đánh giá về mức phù hợp và trình độ của bạn để sử dụng các sản phẩm và dịch vụ Futureed Pte Ltd."
,
"You will ensure that reasonable safeguards are taken for the protection of your password. You understand that we do not have access to your password and that you must create a new unique password in the event that you lose or forget your password.","Bạn sẽ phải đảm bảo rằng biện pháp bảo vệ hợp lý được đưa ra để bảo vệ mật khẩu của bạn. Bạn phải biết rằng chúng tôi không có quyền truy cập vào mật khẩu của bạn và bạn phải tạo một mật khẩu mới trong trường hợp bạn bị mất hoặc quên mật khẩu của bạn."
,
"We will have the right to delete your Futureed Pte Ltd account and all associated records after a period of 18 months of inactivity on your Futureed Pte Ltd account.","Chúng tôi sẽ có quyền xóa tài khoản Futureed Pte Ltd của bạn và tất cả các hồ sơ liên quan sau một thời gian 18 tháng không hoạt động trên tài khoản trong Futureed Pte Ltd của bạn."
,
"You are solely responsible for backing up all data and records submitted to Futureed Pte Ltd and assume full responsibility for providing backup storage facility for records for any candidate records that are captured on Futureed, and you agree not to rely on Futureed Pte Ltd for storage of the results of candidate assessments.","Bạn phải hoàn toàn chịu trách nhiệm cho việc sao lưu tất cả dữ liệu và hồ sơ nộp cho Futureed Pte Ltd và chịu toàn bộ trách nhiệm trong việc cung cấp cơ sở lưu trữ dự phòng cho các hồ sơ cho bất kỳ hồ sơ thí sinh nào được lưu tại Futureed , và bạn không được dựa vào Futureed Pte Ltd để lưu trữ kết quả đánh giá thí sinh."
,
"No Unlawful Use","Không sử dụng bất hợp pháp"
,
"As a responsible user, you agree that you will not use the Futureed Pte Ltd site, or any product, or service provided by or made available on or from the Futureed Pte Ltd site for any unlawful purpose.","Là một người dùng có trách nhiệm, bạn phải đảm bảo rằng sẽ không sử dụng trang chủ Futureed Pte hay bất kỳ sản phẩm và dịch vụ nào được cung cấp hoặc có sẵn trên trang chủ Futureed Pte vào mục đích bất hợp pháp."
,
"Specifically, you agree to not use the Service to:","Đặc biệt, bạn phải đảm bảo không sử dụng dịch vụ để:"
,
"Use any device, software, or routine to interfere or attempt to interfere with the proper working of the Futureed Pte Ltd site or any activity being conducted on the Futureed Pte Ltd site.","Sử dụng bất kỳ thiết bị, phần mềm hay thủ tục nào để can thiệp hoặc cố gắng can thiệp vào hoạt động riêng biệt của trang chủ Futureed Pte Ltd hoặc bất kỳ hoạt động nào đang được tiến hành trên các trang Futureed Pte Ltd."
,
"Upload, post, email, transmit or otherwise make available any Content that is unlawful, harmful, threatening, abusive, harassing, tortious, defamatory, vulgar, obscene, pornographic, libelous, invasive of another\s","Đăng tải, đăng, gửi email, truyền tải hay bất kỳ phương thức khác liên quan đến nội dung trái pháp luật, gây hại, đe dọa, lăng mạ, quấy rối, sai trái, phỉ báng, khiếm nhã, tục tĩu, khiêu dâm, bôi nhọ, xâm phạm người khác"
,
"Harm minors in any way;","Gây hại đến trẻ vị thành niên hại bằng bất kỳ cách nào;"
,
"Impersonate any person or entity, including, but not limited to, a KCGA official, or host, or falsely state or otherwise misrepresent your affiliation with a person or entity;","Mạo danh bất kỳ người hay tổ chức nào nhưng không giới hạn, bao gồm viên chức của KCGA hay máy chủ, hoặc tuyên bố sai lệch hay xuyên tạc một cá nhân vả tổ chức;"
,
"Forge headers or otherwise manipulate identifiers in order to disguise the origin of any Content transmitted through Futureed;","Giả mạo tiêu đề hoặc điều khiển các định dạng để che giấu nguồn gốc của bất kỳ nội dung nào được truyền thông qua Futureed;"
,
"Upload, post, email, transmit or otherwise make available any Content that you do not have a right to make available under any law or under contractual or fiduciary relationships (such as inside information, proprietary and confidential information learned or disclosed as part of employment relationships or under nondisclosure agreements);","Đăng tải, đăng, gửi email, truyền tải hay bất kỳ phương thức nào khác liên quan đến nội dung mà bạn không có quyền tạo ra theo bất kỳ luật lệ, các mối quan hệ hợp đồng hay ủy thác (chẳng hạn như thông tin nội bộ, thông tin độc quyền và bảo mật được biết đến hoặc tiết lộ trong các mối quan hệ lao hoặc theo những cam kết không được tiết lộ thông tin mật);"
,
"Upload, post, email, transmit or otherwise make available any Content that infringes any patent, trademark, trade secret, copyright or other proprietary rights of any party;","Đăng tải, đăng, gửi email, truyền tải hay bất kỳ phương thức nào khác liên quan đến nội dung vi phạm bằng sáng chế, thương hiệu, bí mật thương mại, bản quyền hoặc các quyền sở hữu khác của bất kỳ bên nào:"
,
"Upload, post, email, transmit or otherwise make available any unsolicited or unauthorized advertising, promotional materials, ""junk mail,"" ""spam,"" ""chain letters,"" ""pyramid schemes,"" or any other form of solicitation, except in those areas (such as shopping) that are designated for such purpose;","Đăng tải, đăng, gửi email, truyền tải hay bất kỳ phương thức nào khác liên quan đến quảng cáo trái phép, tư liệu quảng cáo, thư rác, thư dây chuyền, mô hình Kim Tự Tháp hay bất kỳ hình thức lôi kéo nào, ngoại trừ những phạm vi được chỉ định rõ cho những mục đích đó (như mua sắm chẳng hạn)"
,
"Upload, post, email, transmit or otherwise make available any material that contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any part of Futureed;","Đăng tải, đăng, gửi email, truyền tải hay bất kỳ phương thức nào khác liên quan đến tài liệu chứa các phần mềm vi-rút hoặc các mã số máy tính khác, các tập tin hoặc các chương trình được thiết kế để gây cản trở, phá hỏng hoặc hạn chế các chức năng của bất kỳ bộ phận nào của Futureed;"
,
"Disrupt the normal flow of dialogue, cause a screen to ""scroll"" faster than other users of the Service are able to type, or otherwise act in a manner that negatively affects other users","Làm gián đoạn luồng chạy ổn định của các cuộc đối thoại, khiến cho màn hình ""chạy"" nhanh hơn so với tốc độ đánh máy của những người dùng khác sử dụng dịch vụ hoặc có hành động gây ảnh hưởng tiêu cực đến những người dùng khác "
,
"Interfere with or disrupt the service of Futureed Pte Ltd or another person\s","Cản trở hoặc phá rối dịch vụ của Futureed Pte Ltd hoặc cá nhân khác"
,
"Intentionally or unintentionally violate any applicable law, statute, ordinance, regulation, rule or code, including, but not limited to, any regulations, rules, notices, instructions or directives of any regulatory body or authority, governmental agency or national or other securities exchange ;","Cố ý hoặc vô ý vi phạm pháp luật, đạo luật, quy định, điều khoản, quy tắc hay bộ Luật không giới hạn bao gồm bất kỳ điều khoản, quy tắc, thông báo, hướng dẫn hoặc chỉ thị của bất kỳ cơ quan chức năng hay chính quyền, cơ quan chính phủ hay quốc gia hoặc các giao dịch khác;"
,
"Provide material support or resources (or to conceal or disguise the nature, location, source, or ownership of material support or resources) to any organization(s) designated by Singapore, your country or the United States government as a foreign terrorist organization;","Cung cấp vật liệu hỗ trợ hoặc các nguồn (hoặc để che giấu hoặc ngụy tạo bản chất, vị trí, nguồn gốc, hoặc quyền sở hữu các tài liệu hỗ trợ hoặc các nguồn) cho bất kỳ tổ chức nào của Singapore, quốc gia của bạn hoặc chính phủ Hoa Kỳ như là một tổ chức khủng bố nước ngoài;"
,
"""stalk"" or otherwise harass another;","""Lén theo dõi"" hoặc quấy rối người khác;"
,
"Commit any fraudulent or unlawful act, whether in relation to any third party provider of products and services on the Service or otherwise and/or","Cam kết rằng bất kỳ hành động nào lừa dối hoặc bất hợp pháp, dù có liên quan đến bất kỳ bên cung cấp thứ ba của các sản phẩm và dịch vụ trên dịch vụ hoặc hình thức khác và / hoặc"
,
"Collect or store personal data about other users in connection with the prohibited conduct and activities set forth in this agreement;","Thu thập hoặc lưu trữ dữ liệu cá nhân về người dùng khác trong kết nối với các hành vi bị cấm và các hoạt động nêu trong thỏa thuận này;"
,
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects the national security of Singapore","Tạo lập, trưng bày, chuyển giao, hoặc chiếm các tư liệu gây ra mối đe dọa hoặc ảnh hưởng bất lợi đến an ninh quốc gia Singapore"
,
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects racial harmony in Singapore;","Tạo lập, trưng bày, chuyển giao, hoặc chiếm các tư liệu gây ra mối đe dọa hoặc ảnh hưởng bất lợi đến sự hòa hợp chủng tộc ở Singapore;"
,
"Create, display, transmit, or obtain materials that violates intellectual property laws;","Tạo lập, trưng bày, chuyển giao, hoặc chiếm các tư liệu vi phạm luật sở hữu trí tuệ;"
,
"Use of machines, computers, scripts, ""bots"" or any automated system on Futureed Pte Ltd is strictly prohibited and may result in criminal liability. Futureed Pte Ltd may terminate and permanently disqualify any User who, in its sole discretion, determines as being in violation of these Terms of Service. All decisions by Futureed Pte Ltd are final;","Sử dụng các loại máy móc, máy vi tính, bản thảo, các phần mềm tự động hay bất kỳ hệ thống tự động mào trên Futureed Pte Ltd đều bị nghiêm cấm và có thể phải chịu trách nhiệm hình sự. Futureed Pte Ltd có thể tùy ý chấm dứt và truất quyền vĩnh viễn bất kỳ người dùng naò được xác định là vi phạm các điều khoản dịch vụ này. Tất cả các quyền quyết định sau cùng là của Futureed Pte Ltd;"
,
"Futureed Pte Ltd may include hyperlinks to Websites operated by parties other than Futureed Pte Ltd including advertisers and other content providers. Those sites may collect data or solicit personal information from you. Futureed Pte Ltd does not control such Websites, and is not responsible for their content, privacy policies, or for the collection, use or disclosure of any information those sites may collect.","Futureed Pte Ltd có thể sẽ bao gồm các siêu liên kết đến các trang web được điều hành bởi các bên khác bao gồm các nhà quảng cáo và các nhà cung cấp nội dung. Những trang web này có thể thu thập dữ liệu hoặc thông tin cá nhân của bạn. Futureed Pte Ltd không kiểm soát các trang web như vậy cũng như không chịu trách nhiệm về nội dung của những trang đó, chính sách bảo mật, hoặc các thông tin thu thập, sử dụng hay tiết lộ bất kỳ thông tin mà các trang này có thể thu thập."
,
"Futureed Pte Ltd and KCGA makes no guarantee of the accuracy, correctness, or completeness of any information on these web pages, surveys, databases, or results, and are not responsible for a) any errors or omissions arising from the use of such information; 2) any failures, delays, or interruptions in the delivery of any content or services contained on our servers; or 3) losses or damages arising from the use of the content or services provided by us.","Futureed Pte Ltd và KCGA không đảm bảo về tính chính xác, đúng đắn, hay đầy đủ của bất kỳ thông tin nào trên các trang web, các cuộc khảo sát, cơ sở dữ liệu hoặc kết quả, cũng như không chịu trách nhiệm 1) đối với bất kỳ lỗi hay thiếu sót phát sinh từ việc sử dụng các thông tin đó; 2) đối với bất kỳ thất bại, sự chậm trễ, hoặc gián đoạn trong việc truyền tải các nội dung bất kỳ hoặc các dịch vụ có trên các máy chủ của chúng tôi; hoặc 3) những tổn thất hay thiệt hại phát sinh từ việc sử dụng các nội dung hoặc dịch vụ được cung cấp bởi chúng tôi."
,
"Intellectual Property Rights","Quyền sở hữu trí tuệ"
,
"Unless otherwise indicated, KCGA or its licensors own and retain all proprietary rights in the website and all material and information posted thereon, including without limitation photographs, text, graphics, logos, icons, content, sound recording, tutorials, audio/visual clips and design (collectively, ""Content"").<br/>All of the materials contained on the Website are copyrighted, except where explicitly noted otherwise.<br/>The Futureed Pte Ltd site may be used only by you and your employees, or individuals under your control and/or supervision.<br/>These Terms and Conditions of Use do not grant to or create in the Customer, any user, or any other person any proprietary interest or intellectual property rights in or to the Futureed Pte Ltd site or any assessment tools, or information or other content comprising or available on the Futureed Pte Ltd site.<br/>You may not use, copy, reproduce, republish, upload, post, transmit, distribute, or modify the trademarks or the Content, without the express permission of Futureed Pte Ltd in each instance, unless such Content is posted by you.<br/>The use of Futureed Pte Ltd or KCGA copyrighted materials on any other website is strictly prohibited.<br/>Futureed Pte Ltd and KCGA will aggressively enforce its intellectual property rights to the fullest extent of the law, including the seeking of criminal prosecution.","Trừ khi có những chỉ thị khác, KCGA hoặc người cấp giấy phép sở hữu và giữ lại tất cả các quyền sở hữu trong các trang web và tất cả các tài liệu cũng như thông tin được đăng tải, không bao gồm hình ảnh giới hạn, văn bản, đồ họa, logo, biểu tượng, nội dung, ghi âm, hướng dẫn, âm thanh / clip hình ảnh và thiết kế (gọi chung là ""Nội dung"").<br/> Tất cả các tư liệu chứa trên trang chủ đều có bản quyền, trừ khi có ghi chú rõ ràng khác.<br/> Trang chủ Futureed Pte Ltd có thể chỉ được sử dụng bởi bạn và các nhân viên của bạn, hay những các nhân dưới sự kiểm soát của bạn và/hoặc giám sát viên.<br/> Các điều khoản và điều kiện sử dụng không được cấp hay tạo lập cho khách hàng, người dùng hay cá nhân nào, quyền sỡ hữu lợi tức và các quyền sở hữu trí tuệ trên trang chủ Futureed Pte Ltd hay bất kỳ công cụ đáng giá, thông tin hoặc nội dung bao gồm hay có sẵn trên trang chủ Futureed Pte Ltd.<br/> Bạn không thể sử dụng, sao chép, tái sản xuất, tái bản, đăng tải, đăng, truyền tải, phân phối hay sửa đổi những thương hiệu hoặc nội dung mà không có sự chấp thuận rõ ràng của Futureed Pte Ltd cho mỗi trường hợp, trừ khi nội dung đó được đăng bởi chính bạn.<br/> Việc sử dụng tư liệu bản quyền của Futureed Pte Ltd hay KCGA trên bất kỳ trang web khác bị nghiêm cấm.<br/> Futureed Pte Ltd và KCGA sẽ mạnh tay thực thi quyền sở hữu trí tuệ của mình đến mức tối đa của pháp luật, bao gồm việc theo đuổi truy tố hình sự."
,
"Confidential Information","Thông tin bảo mật"
,
"Confidential Information includes these terms, statements of work, license agreements, business and marketing plans and strategies, non-public business and technology information, trade secrets, Content included in assessments by you, any written materials marked as confidential and any other information, including visual and oral information, which reasonably should be understood to be confidential.<br/>Futureed Pte Ltd will use commercially reasonable technology, industry best practices to ensure the integrity and security of all Confidential Information with respect to theft, piracy, and unauthorized access.","Thông tin bảo mật bao gốm những điều khoản, các báo cáo công việc, giấy phép thỏa thuận, kế hoạch chiến lược kinh doanh và tiếp thị, thông tin kinh doanh và công nghệ không công khai, bí mật thương mại, nội dung được bao gồm trong bản đánh giá của bạn, bất kỳ văn bản tài liệu nào được đánh dấu là bảo mật và thông tin khác bao gồm thông tin hình ảnh và thông tin truyền miệng có lý do hợp lý để được bảo mật.<br/> Futureed Pte Ltd sẽ sử dụng công nghệ hợp lý về phương diện thương mại, những thử nghiệm tốt nhất trong ngành công nghiệp để đảm bảo tính toàn vẹn và bảo mật của tất cả thông tin bảo mật đối với hành vi trộm cắp, vi phạm bản quyền và truy cập trái phép"
,
"Indemnity Obligation","Nghĩa vụ bồi thường"
"To the extent allowed by law, you agree to indemnify and hold harmless KCGA against any and all claims and expenses, including reasonable attorneys’ fees, arising from the use of KCGA products, services and this web site.<br/>This indemnification expressly includes your responsibility for any and all liability arising from the violation or infringement of copyrights, trademarks or other proprietary rights and from the use of any libelous or unlawful material contained submitted.","Trong phạm vi pháp luật cho phép, bạn phải đồng ý bồi thường và vô hại đối với bất kỳ và tất cả các yêu cầu cũng như phí tổn cho KCGA phát sinh từ việc sử dụng các sản phẩm, dịch vụ và trang web này của KCGA, bao gồm cả phí luật sư hợp lý .<br/> Phí bồi thường này bao gồm chính xác trách nhiệm của bạn cho bất kỳ và tất cả trách nhiệm pháp lý phát sinh từ việc phá rối hoặc vi phạm bản quyền, thương hiệu hoặc các quyền sở hữu khác và từ việc sử dụng bất kỳ tài liệu bôi nhọ hoặc bất hợp pháp."
,
"Right To Terminate","Quyền chấm dứt"
,
"KCGA reserves the right to suspend or terminate your use of the web site and the services at any time, without notice, if you are found in violation of our terms in this agreement.","KCGA có quyền đình chỉ hoặc chấm dứt việc sử dụng trang web và dich vụ của bạn bất cứ lúc nào mà không cần báo trước, trong trường hợp bạn bị phát hiện vi phạm các điều khoản trong bản thỏa thuận này"
,
"DISCLAIMER","Quyền thụ hưởng"
,
"FUTUREED PTE LTD IS PROVIDED ""AS IS"" AND ""WITH ALL FAULTS,"" AND WITHOUT WARRANTY OF ANY KIND, AND USE OF FUTUREED PTE LTD IS AT CUSTOMER\S","FUTUREED PTE LTD được cung cấp nguyên trạng và ""chứa tất cả các lỗi"" mà không đảm bảo bất kỳ loại nào, cũng như việc sử dụng FUTUREED PTE LTD là của khách hàng"
,
