"DO NOT EDIT","Mynmmar"
"Reset Code Resent","ပြန်သတ်မှတ်ရန် ကုဒ်ကို ပြန်ပို့ထားသည်"
"Reset Code","ကုဒ်ကို ပြန်သတ်မှတ်ပါ"
"Resend Code","ကုဒ်ကို ပြန်ပို့ပါ"
"Proceed","ဆက်လက်ဆောင်ရွက်ပါ"
"Retrieve Password","စကားဝှက်ကို ထုတ်ယူပါ"
"Reset Code Sent","ပြန်သတ်မှတ်ရန် ကုဒ်ကို ပို့ထားသည်"
"Please check your inbox or your spam folder for the email.<br />The email contains a reset code that you need to input below.","သင့်စာတိုက်ပုံး သို့မဟုတ် စပမ်ဖိုဒါကို စစ်ဆေးပါ။<br/>ထိုအီးမေးလ်ထဲတွင် သင့်အောက်၌ ဖြည့်သွင်းရမည့် ပြန်သတ်မှတ်ရန်ကုဒ် ပါဝင်ပါသည်"
"Teacher Registration","ဆရာ မှတ်ပုံတင်ခြင်း"
"Register New Account","အကောင့်သစ် မှတ်ပုံတင်ပါ"
"Please enter the confirmation code to confirm your email account.","သင့်အီးမေးလ် အကောင့်ကို အတည်ပြုရန် အတည်ပြုကုဒ်ကို ဖြည့်ပါ"
"Please Login then proceed to My Profile to confirm your new email address.","သင့်အီးမေးလ်လိပ်စာ အသစ်ကို အတည်ပြုရန် အကောင့်ဝင်ပြီး ကျွန်ုပ်ကိုယ်ရေးအကျဉ်းသို့ ဆက်သွားပါ"
"Thank you for registering to Future Lesson!","အနာဂတ်သင်ခန်းစာကို မှတ်ပုံတင်သည့်အတွက် ကျေးဇူးတင်ပါသည်"
"A confirmation code has been sent to your email account.","အတည်ပြုရန် ကုဒ်ကို သင့်အီးမေးလ်အကောင့်သို့ ပို့ထားသည်"
"Please enter the confirmation code to verify your email address and to setup your new password.","သင့်အီးမေးလ်လိပ်စာကို အတည်ပြုရန် အတည်ပြုကုဒ်ကို ဖြည့်ပြီး သင့်စကားဝှက်အသစ်ကို သတ်မှတ်ပါ"
"A new confirmation code has been sent to your email account.","အတည်ပြုရန် ကုဒ်အသစ်ကို သင့်အီးမေးလ်အကောင့်သို့ ပို့ထားသည်"
"You\re","သင်သည်"
"Register Account as","အကောင့် မှတ်ပုံတင်သူ"
"Sign up via Facebook","Facebook ဖြင့် စာရင်းသွင်းပါ"
"Sign up with Google","Google ဖြင့် စာရင်းသွင်းပါ"
"FUTUREED PTE LTD CLIENT TERMS AND CONDITIONS","FUTUREED PTE LTD ဖောက်သည် စည်းမျဉ်းစည်းကမ်းများ"
"Thank you for choosing Futureed Pte Ltd for your assessment needs.<br/>We intend to provide provide you with a best-in-industry products that are of high quality, price competitive, psychometrically sound and in a technically reliable manner.<br/>To achieve that goal, we need to make certain legal declarations to ensure that our Service is being used in a reasonable, safe, and legal way.<br/>These Terms may be updated from time to time. Notice of modifications to these Terms will appear on this page.","သင့်အကဲဖြတ်မှု လိုအပ်ချက်များအတွက် Futures Pte Ltd အား ရွေးချယ်သည်ကို ကျေးဇူးတင်ပါသည်။<br/>ကျန်ုပ်တို့သည် အရည်အသွေးမြင့်သော၊ စျေးနှုန်းသက်သာသော၊ စိတ်ပိုင်းဆိုင်ရာအရ မှန်ကန်သော၊ နည်းပညာပိုင်းယုံကြည်စိတ်ချရသော ဤလုပ်ငန်းနယ်ပယ်မှ အကောင်းဆုံး ထုတ်ကုန်များကို သင့်အားပေးအပ်လိုပါသည်။<br/>ထိုရည်မှန်းချက် အောင်မြင်ရန်စေရန် ကျွန်ုပ်တို့၏ ဝန်ဆောင်မှုသည် ကျိုးကြောင်းဆီလျော်၊ ဘေးကင်းလုံခြုံပြီး ဥပဒေနှင့် ကိုက်ညီကြောင်း သေချာစေမည့် အချို့သော တရားဥပဒေဆိုင်ရာ ကြေညာချက်များ ပြုလုပ်ရန်လိုပါသည်။<br/>ထိုစည်းမျဉ်းစည်းကမ်းများကို အခါအားလျော်စွာ ပြင်ဆင်နိုင်ပါသည်။ ထိုစည်းမျဉ်းများ ပြင်ဆင်မှု အကြောင်းကြားစာကို ဤစာမျက်နှာတွင် ဖော်ပြပါမည်"
"Introduction","နိဒါန်း"
"If you are using Futureed Pte Ltd on behalf of a business entity or other organization, you represent and warrant to KCGA that you have the authority to legally bind such business entity or other organization to these Terms and Conditions of Use.<br/>In such event, both you, acting on behalf of the business entity or other organization, and the business entity or other organization for whom you act, are jointly and severally bound by these Terms and Conditions of Use and references in these Terms and Conditions of Use to ""Customer,"" ""you"" or ""your"" refer to both you, acting on behalf of the business entity or other organization, and the business entity or other organization for whom you act, jointly and severally. It also implies that if you transfer the administration of the account of your organization to another person within the same organization, that person will also be taken legally to be representing and acting on behalf of the business entity of the registration and account.","သင်သည် စီးပွားရေးလုပ်ငန်း အဖွဲ့တစ်ခု သို့မဟုတ် အခြားအဖွဲ့အစည်းကိုယ်စား Futures Pte Ltd ကို အသုံးပြုနေလျှင် အဆိုပါ စီးပွားရေးလုပ်ငန်း အဖွဲ့တစ်ခု သို့မဟုတ် အခြားအဖွဲ့အစည်းအား ဤအသုံးပြုမှု စည်းမျဉ်းစည်းကမ်းများဖြင့် ဥပဒေအရ တုပ်နှောင်ခွင့်ရှိကြောင်း သင်က KCGA ကို ကိုယ်စားပြု အာမခံပါသည်။<br/>ထိုကဲ့သို့သော အခြေအနေတွင် စီးပွားရေးလုပ်ငန်း အဖွဲ့တစ်ခု သို့မဟုတ် အခြားအဖွဲ့အစည်းကိုယ်စား ပြုမူသော သင်နှင့် သင်ပြုမူသော စီးပွားရေးလုပ်ငန်း အဖွဲ့တစ်ခု သို့မဟုတ် အခြားအဖွဲ့အစည်းသည် ဤအသုံးပြုမှုစည်းမျဉ်းစည်းကမ်းများအတိုင်း ဤအသုံးပြုမှု စည်းမျဉ်းစည်းကမ်းများဖြင့် သီးခြား တုပ်နှောင်ပါသည်။ ""ဖောက်သည်"" ""သင်"" သို့မဟုတ် ""သင်၏"" စသော အသုံးများသည် စီးပွားရေးလုပ်ငန်း အဖွဲ့တစ်ခု သို့မဟုတ် အခြားအဖွဲ့အစည်းကိုယ်စား ပြုမူသော သင်နှင့် သင်ပြုမူသော စီးပွားရေးလုပ်ငန်း အဖွဲ့တစ်ခု သို့မဟုတ် အခြားအဖွဲ့အစည်း စသည့် သင်တို့နှစ်ဦးစလုံးကို အတူတကွနှင့် သီးခြားစီ ရည်ညွှန်းပါသည်။     သင့်အဖွဲ့အစည်း အကောင့်၏ ကြီးကြပ်မှုကို သင့်အဖွဲ့အစည်းထဲမှ အခြားပုဂ္ဂိုလ်တစ်ဦးထံ သင်လွှဲပြောင်းလျှင် မှန်ပုံတင် အကောင့်ဖြစ်သော စီးပွားရေးလုပ်ငန်း အဖွဲ့ကိုယ်စား ပြုမူရန် တရားဝင်ဖြစ်ပါမည်"
"Using Futureed","Futureed ကို အသုံးပြုခြင်း"
"Futureed Pte Ltd is made available by Kosh Consulting Group (Asia) Pte Ltd (KCGA) and provides an online assessmsessment tools to remotely test candidates on areas of psychometric abilities and personality.<br/>The two entities are used interchangeably for legal purposes.<br/>By registering to use Futureed, you are consenting to the terms and conditions as follows in this agreement.<br/>We also have a privacy policy which you can also find on our website.","Kosh Consulting Group (Asia) Pte Ltd (KCGA) က ပေးအပ်သည့် Futureed Pte Ltd သည် စိတ်ပိုင်းဆိုင်ရာ အရည်အချင်းများနှင့် ကိုယ်ရည်ကိုယ်သွေးစသည့် နယ်ပယ်များ၌ လျှောက်ထားသူများကို အဝေးမှ စစ်ဆေးပေးမည့် အွန်လိုင်း အကဲဖြတ်နည်းနာများကို ပေးအပ်ပါသည်။<br/>အဆိုပါ အဖွဲ့အစည်းနှစ်ခုကို ဥပဒေရေးရာရည်ရွယ်ချက်များအတွက် အပြန်အလှန် ဖလှယ်အသုံးပြုပါသည်။<br/>Futureed ကို အသုံးပြုရန် မှတ်ပုံတင်ခြင်းအားဖြင့် ဤသဘောတူညီချက်ပါ စည်းမျဉ်းစည်းကမ်းများကို သင့်က သဘောတူခွင့်ပြုလိုက်ပါသည်။ <br/>ကျွန်ုပ်တို့ ဝက်ဘ်ဆိုက်တွင် ဖော်ပြထားသော ကိုယ်ရေးကိုယ်တာဆိုင်ရာမူဝါဒလည်း ကျွန်ုပ်တို့၌ ရှိပါသည်"
"Otherwise, if you fail to have the legal authority to bind such business entity or other organization or if you are not using the Futureed Pte Ltd site on behalf of a business entity or other organization, you agree that these Terms and Conditions of Use are binding to you in your individual capacity and references in these Terms and Conditions of Use to ""KCGA Customer,"" ""you"" or ""your"" refer to you in your individual capacity.","ဤသို့မဟုတ်လျှင် သင်ထိုကဲ့သို့သောစီးပွားရေးအဖွဲ့အစည်း သို့မဟုတ် အခြားအဖွဲ့အစည်းကို တုပ်နှောင်ရန် တရားဥပဒေဆိုင်ရာအခွင့်အာဏာရှိဖို့ ပျက်ကွက်လျှင် သို့မဟုတ် သင့်စီးပွားရေးလုပ်ငန်းတစ်ခု သို့မဟုတ် အခြားအဖွဲ့အစည်းကိုယ်စား Futures Pte Ltd မှ ဝက်ဘ်ဆိုက်ကို မသုံးလျှင် သင့်တစ်ဦးချင်းစွမ်းရည်နှင့် ကိုးကားရန်အတွက် ဤအသုံးပြုမှု ဤစည်းမျဉ်းစည်းကမ်းများနှင့် ""KCGA ဖောက်သည်"" ""သင်"" သို့မဟုတ် ""သင်၏"" စသည်တို့က သင့်တစ်ဦးချင်းစွမ်းရည်အတွက် သင့်ကိုရည်ညွှန်းကြောင်း သင်က သဘောတူပါသည်။ "
"Responsibility for Use","အသုံးပြုမှုအတွက် တာဝန်ယူမှု"
"As the account user or user of Futureed, you assume full responsibility for all use of Futureed Pte Ltd by yourself and others within your organization.<br/>You agree that each individual who accesses and uses Futureed Pte Ltd acts on behalf and for the account of the Customer, and the Customer is responsible for any wrongful acts, and omissions by a user, and a user’s breach or default of these Terms and Conditions of Use.","Futureed ၏အကောင့်အသုံးပြုသူ သို့မဟုတ် အသုံးပြုသူအဖြစ် သင့်အဖွဲ့အစည်းအတွင်း သင်ကိုယ်တိုင်နှင့် အခြားသူများအားဖြင့် Futures Pte, Ltd ၏အားလုံးအသုံးပြုမှုအတွက် သင်က အပြည့်အဝတာဝန်ယူသည်။<br/"
"You represent, warrant, and covenant that:","သင်က ကိုယ်စားပြု၊ အာမခံ၊ ပဋိညာဉ်ပြုပါသည်"
,
"You will submit reasonable and appropriate documentation as requested by KCGA for us to make an assessment on your suitability and qualification to use the Futureed Pte Ltd products and services.","Futures Pte Ltd မှ ထုတ်ကုန်များနှင့် ဝန်ဆောင်မှုများကို သုံးစွဲဖို့သင့်မသင့်နှင့် အရည်အချင်းများအပေါ် အကဲဖြတ်ရန် KCGA က တောင်းဆိုသည့်အတိုင်း သင့်လျော်ပြေပြစ်သော စာရွက်စာတမ်းများကို သင်ကတင်ပြရပါမည်"
,
"You will ensure that reasonable safeguards are taken for the protection of your password. You understand that we do not have access to your password and that you must create a new unique password in the event that you lose or forget your password.","သင့်စကားဝှက်ကို ကာကွယ်စောင့်ရှောက်ရန် သင်က ကျိုးကြောင်းဆီလျော်သော အကာအကွယ် ထားရှိရပါမည်။ ကျွန်ုပ်တို့က သင့်စကားဝှက်ကို မဝင်ရောက်ကြောင်း၊ သင့်စကားဝှက်ကို ဆုံးရှုံး သို့မဟုတ် မေ့လျော့သောဖြစ်ရပ်အတွက် စကားဝှက်အသစ် ဖန််တီးရမည်ဖြစ်ကြောင်း သင်က နားလည်ပါသည်"
,
"We will have the right to delete your Futureed Pte Ltd account and all associated records after a period of 18 months of inactivity on your Futureed Pte Ltd account.","ကျွန်ုပ်တို့သည် သင့် Futureed Pte Ltd အကောင့်နှင့် ဆက်စပ်မှတ်တမ်းများကို သင့် Futureed Pte Ltd အကောင့် အသက်မဝင်မှု ၁၈ လ ကျော်လွန်ပြီးနောက် ပယ်ဖျက်ခွင့်ရှိပါသည်"
,
"You are solely responsible for backing up all data and records submitted to Futureed Pte Ltd and assume full responsibility for providing backup storage facility for records for any candidate records that are captured on Futureed, and you agree not to rely on Futureed Pte Ltd for storage of the results of candidate assessments.","Futureed Pte Ltd သို့ တင်သွင်းသေ အချက်အလက်များနှင့် မှတ်တမ်းများအားလုံးကို အရန်ထားရှိရန်နှင့် Futures တွင် ရယူထားသော မည်သူ့မှတ်တမ်းများကိုမဆို အရန်ထားရှိရန် သင်တစ်ဦးတည်က တာဝန်ရှိပါသည်။ ထို့ပြင် မည်သူ၏ အကဲဖြတ်ချက် ရလဒ်များကိုမျှ Futureed Pte Ltd က သိမ်းဆည်းထားမည်ဟု မမှီခိုရန် သင်က သဘောတူပါသည်"
,
"No Unlawful Use","တရားမဝင် အသုံးပြုမှု မရှိပါ"
,
"As a responsible user, you agree that you will not use the Futureed Pte Ltd site, or any product, or service provided by or made available on or from the Futureed Pte Ltd site for any unlawful purpose.","Futures Pte Ltd ဝက်ဘ်ဆိုက်ကို သို့မဟုတ် Futures Pte Ltd ဝက်ဘ်ဆိုက်မှ ရရှိသော မည်သည့်ထုတ်ကုန် သို့မဟုတ် ဝန်ဆောင်မှုကိုမဆို တရားမဝင် ရည်ရွယ်ချက်များအတွက် အသုံးမပြုရန် သင်က တာဝန်သိသော အသုံးပြုသူအဖြစ် သဘောတူပါသည်"
,
"Specifically, you agree to not use the Service to:","အထူးသဖြင့် အောက်ပါတို့အတွက် ဝန်ဆောင်မှုကို မသုံးရန်သဘောတူပါသည်"
,
"Use any device, software, or routine to interfere or attempt to interfere with the proper working of the Futureed Pte Ltd site or any activity being conducted on the Futureed Pte Ltd site.","Futureed Pte Ltd ဝက်ဘ်ဆိုက်မှ လုပ်ဆောင်မှု သို့မဟုတ် Futureed Pte Ltd ဝက်ဘ်ဆိုက်ပေါ်၌ ပြုမူလှုပ်ရှားမှုတို့ကို စွက်ဖက်မည့် သို့မဟုတ် စွက်ဖက်ရန်ကြိုးစားမည့် ကိရိယာ၊ ဆော့ဖ်ဝဲ သို့မဟုတ်လုပ်ရိုးလုပ်စဉ်ကို အသုံးပြုခြင်း"
,
"Upload, post, email, transmit or otherwise make available any Content that is unlawful, harmful, threatening, abusive, harassing, tortious, defamatory, vulgar, obscene, pornographic, libelous, invasive of another\s","ဥပဒေမဲ့သော၊ အန္တရာယ်ရှိသော၊ ခြိမ်းခြောက်သော၊ ကြမ်းတမ်းသော၊ နှောင့်ယှက်သော၊ ညှဉ်းပန်းသော၊ အသေရေဖျက်သော၊ အောက်တန်းကျသော၊ ဆိုးရွားသော၊ ညစ်ညမ်းသော၊ အသရေဖျက်သော၊ ထိုးဖောက်သော မည်သည့်အကြောင်းအရာကိုမဆို လွှင့်တင်ခြင်း၊ ပို့စ်တင်ခြင်း၊ အီးမေးလ်ပို့ခြင်း၊ ထုတ်လွှင့်ခြင်း၊ သို့မဟုတ် အခြားနည်းဖြင့် ရရှိစေခြင်း"
,
"Harm minors in any way;","အရွယ်မရောက်သေးသူအား မည်သည့်နည်းဖြင့်မဆို ထိခိုက်စေမှု"
,
"Impersonate any person or entity, including, but not limited to, a KCGA official, or host, or falsely state or otherwise misrepresent your affiliation with a person or entity;","KCGA အရာရှိတစ်ဦး၊ သို့မဟုတ် ပိုင်ဆိုင်သူ အပါအဝင် ကန့်သတ်မထားသော မည်သည့်ပုဂ္ဂိုလ် သို့မဟုတ် အဖွဲ့အစည်းကို အယောင်ဆောင်ခြင်း သို့မဟုတ် ပုဂ္ဂိုလ်တစ်ဦး သို့မဟုတ် အဖွဲ့အစည်းနှင့် သင့်ဆက်နွှယ်မှုကို မှားယွင်းစွာ ကိုယ်စားပြုခြင်း"
,
"Forge headers or otherwise manipulate identifiers in order to disguise the origin of any Content transmitted through Futureed;","Futureed မှ လွှင့်တင်သော အကြောင်းအရာများ၏ ဇစ်မြစ်ကို ဖုံးကွယ်နိုင်ရန်အတွက် ခေါင်းစီးများ အတုလုပ်ခြင်း သို့မဟုတ် အခြားနည်းဖြင့် စီမံကိုင်တွယ်ခြင်း"
,
"Upload, post, email, transmit or otherwise make available any Content that you do not have a right to make available under any law or under contractual or fiduciary relationships (such as inside information, proprietary and confidential information learned or disclosed as part of employment relationships or under nondisclosure agreements);","အကြောင်းအရာများ (အလုပ်အကိုင် ဆက်ဆံမှု သို့မဟုတ် ထုတ်ဖော်မပြောရေး သဘောတူညီချက်အရ သိရှိထားသော သို့မဟုတ် ထုတ်ပြောထားသော လုပ်ငန်းတွင်း အချက်အလက်၊ မူပိုင်ခွင့်နှင့် လျှို့ဝှက် အချက်အလက်များ) ကို မည်သည့် ဥပဒေအောက်တွင်မဆို သို့မဟုတ် စာချုပ် သို့မဟုတ် ကြီးကြပ်အုပ်ချုပ်ဆက်ဆံရေး အရမဆို လွှင့်တင်ခြင်း၊ ပို့စ်တင်ခြင်း၊ အီးမေးလ်ပို့ခြင်း၊ ထုတ်လွှင့်ခြင်း၊ သို့မဟုတ် အခြားနည်းဖြင့် ရရှိစေခြင်း"
,
"Upload, post, email, transmit or otherwise make available any Content that infringes any patent, trademark, trade secret, copyright or other proprietary rights of any party;","မူပိုင်ခွင့်၊ ကုန်အမှတ်တံဆိပ်၊ ကုန်သွယ်ရေးလျှို့ဝှက်ချက်၊ မူပိုင်ခွင့် သို့မဟုတ် အခြားသူများ၏ ပိုင်ဆိုင်မှု အခွင့်အရေးကို လွှင့်တင်ခြင်း၊ ပို့စ်တင်ခြင်း၊ အီးမေးလ်ပို့ခြင်း၊ ထုတ်လွှင့်ခြင်း၊ သို့မဟုတ် အခြားနည်းဖြင့် ရရှိစေခြင်း"
,
"Upload, post, email, transmit or otherwise make available any unsolicited or unauthorized advertising, promotional materials, ""junk mail,"" ""spam,"" ""chain letters,"" ""pyramid schemes,"" or any other form of solicitation, except in those areas (such as shopping) that are designated for such purpose;","မလိုလားသော သို့မဟုတ် ခွင့်ပြုချက်မရှိဘဲ ကြော်ငြာထုတ်လွှင့်သော သို့မဟုတ် အစုလိုက်မေးလ်ပို့ခြင်း၊ စပမ်၊ အတွဲလိုက် စာများ၊ ပိရမစ်အစီအစဉ်များ၊ သို့မဟုတ် အဆိုပါ ရည်ရွယ်ချက်များအတွက် (စျေးဝယ်မှုကဲ့သို့) အခြားပုံစံ တောင်းဆိုမှုများကို လွှင့်တင်ခြင်း၊ ပို့စ်တင်ခြင်း၊ အီးမေးလ်ပို့ခြင်း၊ ထုတ်လွှင့်ခြင်း၊ သို့မဟုတ် အခြားနည်းဖြင့် ရရှိစေခြင်း"
,
"Upload, post, email, transmit or otherwise make available any material that contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any part of Futureed;","Futureed ၏ အစိတ်အပိုင်းများ လုပ်ငန်းဆောင်ရွက်မှုကို နှောင့်ယှက် ဖျက်ဆီး ကန့်သတ်နိုင်သော ဆော့ဖ်ဝဲဗိုင်းရပ်စ် သို့မဟုတ် အခြားကွန်ပျူတာကုဒ်၊ ဖိုင်များ၊ ပရိုဂရမ်များ ပါဝင်သော အကြောင်းအရာများကို လွှင့်တင်ခြင်း၊ ပို့စ်တင်ခြင်း၊ အီးမေးလ်ပို့ခြင်း၊ ထုတ်လွှင့်ခြင်း၊ သို့မဟုတ် အခြားနည်းဖြင့် ရရှိစေခြင်း"
,
"Disrupt the normal flow of dialogue, cause a screen to ""scroll"" faster than other users of the Service are able to type, or otherwise act in a manner that negatively affects other users","စကားပြောဆိုမှု ပုံမှန်မဖြစ်အောင် နှောင့်ယှက်ခြင်း၊ ဝန်ဆောင်မှု၏ အခြားအသုံးပြုသူများ ရိုက်ထည့်မှုထက် ပိုမြန်စွာ စခရင်ကို ရွှေ့ကြည့်စေခြင်း သို့မဟုတ် အခြားအသုံးပြုသူများကို ဆိုးရွားစါာ ထိခိုက်စေခြင်း"
,
"Interfere with or disrupt the service of Futureed Pte Ltd or another person\s","Futureed Pte Ltd သို့မဟုတ် အခြားသူ၏ ဝန်ဆောင်မှုကို နှောင့်ယှက်ဟန့်တားခြင်း"
,
"Intentionally or unintentionally violate any applicable law, statute, ordinance, regulation, rule or code, including, but not limited to, any regulations, rules, notices, instructions or directives of any regulatory body or authority, governmental agency or national or other securities exchange ;","အာဏာပိုင်အဖွဲ့၊ အစိုးရအေဂျင်စီ သို့မဟုတ် အမျိုးသားရေး သို့မဟုတ် အခြားလုံခြုံရေး လဲလှယ်မှုတို့၏ စည်းမျဉ်းစည်းကမ်းများ၊ သတိပေးချက်များ၊ ညွှန်ကြားချက်များ သို့မဟုတ် လမ်းညွှန်ချက်များ အပါအဝင် ကန့်သတ်မထားသော သက်ဆိုင်ရာဥပဒေ၊ ပညတ်ချက်၊ ထုံးစံ၊ စည်းမျဉ်း စည်းကမ်း သို့မဟုတ် ကျင့်ဝတ်တို့ကို ရည်ရွယ်ချက်ရှိရှိ သို့မဟုတ် မရည်ရွယ်ဘဲ ဖောက်ဖျက်ခြင်း"
,
"Provide material support or resources (or to conceal or disguise the nature, location, source, or ownership of material support or resources) to any organization(s) designated by Singapore, your country or the United States government as a foreign terrorist organization;","စင်္ကာပူ၊ သင့်နိုင်ငံ သို့မဟုတ် အမေရိကန်ပြည်ထောင်စုအစိုးရမှ နိုင်ငံခြားအကြမ်းဖက်အဖွဲ့အစည်း အဖြစ် သတ်မှတ်ထားသည့်အဖွဲ့အစည်းများသို့ ပစ္စည်းအထောက်အပံ့ သို့မဟုတ် ရင်းမြစ်များ ပေးအပ်ခြင်း (သို့မဟုတ် ပစ္စည်းအထောက်အပံ့ သို့မဟုတ် ရင်းမြစ်များ၏ သဘောသဘာဝ၊ တည်နေရာ၊ အရင်းအမြစ်၊ သို့မဟုတ် ပိုင်ဆိုင်မှုကို ဖုံးကွယ်ခြင်း သို့မဟုတ် ပုံဖျက်ခြင်း)"
,
"""stalk"" or otherwise harass another;","အခြားတစ်ယောက်ကို ""တွယ်ကပ်ခြင်း"" သို့မဟုတ် အခြားနည်းဖြင့် နှောင့်ယှက်ခြင်း"
,
"Commit any fraudulent or unlawful act, whether in relation to any third party provider of products and services on the Service or otherwise and/or","ဤဝန်ဆောင်မှု၏ ထုတ်ကုန်နှင့်ဝန်ဆောင်မှုများနှင့် ပတ်သက်ပြီး ကြားခံပေးအပ်သူနှင့် ဆက်စပ်သည်ဖြစ်စေ လိမ်လည်သော၊ တရားမဝင်သော အပြုအမူ ဆောင်ရွက်ခြင်း သို့မဟုတ်"
,
"Collect or store personal data about other users in connection with the prohibited conduct and activities set forth in this agreement;","ဤသဘောတူညီချက်၌ ဖော်ပြထားသော ကျင့်ဝတ်နှင့် လှုပ်ရှားမှုများနှင့် ဆက်စပ်ပြီး အခြားအသုံးပြုသူများနှင့် ပတ်သက်သည့် ပုဂ္ဂိုလ်ရေးဆိုင်ရာအချက်အလက်များကို စုဆောင်းခြင်း သို့မဟုတ် သိုလှောင်သိမ်းဆည်းခြင်း"
,
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects the national security of Singapore","စင်္ကာပူနိုင်ငံ၏ အမျိုးသားလုံခြုံရေးကို ခြိမ်းခြောက်မှု သို့မဟုတ် ဆိုးရွားစွာ သက်ရောမှု ဖြစ်စေသည့် အကြောင်းအရာများကို ဖန်တီး၊ ဖော်ပြ၊ လွှင့်ထုတ်၊ ရယူခြင်း"
,
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects racial harmony in Singapore;","စင်္ကာပူနိုင်ငံ၌ လူမျိုးရေးသဟဇာတ ဖြစ်မှုကို ခြိမ်းခြောက်မှု သို့မဟုတ် ဆိုးရွားစွာ သက်ရောမှု ဖြစ်စေသည့် အကြောင်းအရာများကို ဖန်တီး၊ ဖော်ပြ၊ လွှင့်ထုတ်၊ ရယူခြင်း"
,
"Create, display, transmit, or obtain materials that violates intellectual property laws;","ဉာဏပစ္စည်း မူပိုင်ခွင့် ဥပဒေများကို ချိုးဖောက်သော အကြောင်းအရာများကို ဖန်တီး၊ ဖော်ပြ၊ လွှင့်ထုတ်၊ ရယူခြင်း"
,
"Use of machines, computers, scripts, ""bots"" or any automated system on Futureed Pte Ltd is strictly prohibited and may result in criminal liability. Futureed Pte Ltd may terminate and permanently disqualify any User who, in its sole discretion, determines as being in violation of these Terms of Service. All decisions by Futureed Pte Ltd are final;","စက်များ၊ ကွန်ပျူတာများ၊ စာသားများ၊ ""bot များ"" သို့မဟုတ် Futures Pte Ltd ၏ အလိုအလျောက် စနစ်များ အသုံးပြုခြင်းကို တင်းကြပ်စွာတားမြစ်သလို ယင်းတို့သည် ရာဇဝတ်မှု မြောက်စေနိုင်ပါသည်။ ဝန်ဆောင်မှု၏ အဆိုပါ စည်းမျဉ်းများ ချိုးဖောက်သည်ဟု Futures Pte Ltd က ၎င်း၏ တစ်ဦးတည်း ဆုံးဖြတ်ချက်ဖြင့် သတ်မှတ်သော မည်သည့်အသုံးပြုသူကိုမဆို ရပ်ဆိုင်းခြင်း၊ ထာဝရ ပိတ်သိမ်းခြင်းတို့ ဆောင်ရွက်နိုင်ပါသည်"
,
"Futureed Pte Ltd may include hyperlinks to Websites operated by parties other than Futureed Pte Ltd including advertisers and other content providers. Those sites may collect data or solicit personal information from you. Futureed Pte Ltd does not control such Websites, and is not responsible for their content, privacy policies, or for the collection, use or disclosure of any information those sites may collect.","Futureed Pte Ltd တွင် ကြော်ငြာရှင်များနှင့် အခြားအကြောင်းအရာကို ပံ့ပိုးပေးသူများ အပါအဝင် Futureed Pte Ltd အပြင် အခြားသူများက ဆောင်ရွက်သည့် ဝက်ဘ်ဆိုက်များသို့ သွားသော hyperlink များ ပါဝင်နိုင်ပါသည်။ ထိုဆိုက်များသည် သင့်ကိုယ်ရေးကိုယ်တာ အချက်အလက်များကို မြှူဆွယ်တောင်းခံနိုင်ပါသည်။ Futureed Pte Ltd မှထိုကဲ့သို့သော Website များမထိန်းချုပ်သလို ထိုဆိုက်များက စုဆောင်းနိုင်သော အချက်အလက်များ စုဆောင်း၊ အသုံးပြု၊ ထုတ်ပြောမှုအတွက် ၎င်းတို့၏ အကြောင်းအရာများ၊ ကိုယ်ရေးကိုယ်တာ မူဝါဒများ သို့မဟုတ် စုဆောင်းခြင်းတို့အတွက် တာဝန်မရှိပါ"
,
"Futureed Pte Ltd and KCGA makes no guarantee of the accuracy, correctness, or completeness of any information on these web pages, surveys, databases, or results, and are not responsible for a) any errors or omissions arising from the use of such information; 2) any failures, delays, or interruptions in the delivery of any content or services contained on our servers; or 3) losses or damages arising from the use of the content or services provided by us.","Futureed Pte Ltd နှင့် KCGA တို့သည် ထိုဝက်ဘ်ဆိုက်များ၊ စစ်တမ်းများ၊ ဒေတာဘေ့စ်များ သို့မဟုတ် ရလဒ်များ၏ တိကျမှု၊ မှန်ကန်မှု သို့မဟုတ် ပြည့်စုံမှု တို့အတွက် အာမ မခံပါ။ ထိုပြင် အောက်ပါတို့အတွက်လည်း တာဝန်မယူပါ။ ၁) ထိုအချက်အလက်များ အသုံးပြုခြင်းမှ ဖြစ်ပေါ်လာသော မှားယွင်းမှုများ၊ ပျက်ကွက်မှုများ၊ ၂) ကျွန်ုပ်တို့ ဆာဗာများတွင် ပါဝင်သော အကြောင်းအရာ သို့မဟုတ် ဝန်ဆောင်မှုများ ပေးပို့မှုကို နှောင့်ယှက်မှုများ၊ နှောင့်နှေးမှုများ၊ သို့မဟုတ် ကြားဖြတ်မှုများ၊ သို့မဟုတ် ၃) ကျွန်ုပ်တို့ ပေးအပ်သော အကြောင်းအရာ သို့မဟုတ် ဝန်ဆောင်မှုများ အသုံးပြုရာမှ ဖြစ်ပေါ်လာသော ဆုံးရှုံးမှု သို့မဟုတ်ပျက်စီးမှုများ"
,
"Intellectual Property Rights","ဉာဏပစ္စည်း မူပိုင်ခွင့်များ"
,
